"","metadata","county","tract"
"business_create_job",1,175,14928
"business_destruction_job",1,159,13455
"entry_rate",1,176,14993
"exit_business",1,176,14993
"exit_rate",1,176,14993
"fruit_treeNut_total_sales",1,70,0
"ID",0,1188,17985
"job_creation_active",1,175,14928
"job_creation_new",1,175,14928
"job_destruction_active",1,159,13455
"job_destruction_exit",1,159,13455
"Minority_employment",1,170,14918
"minority_owned_business_create_job",1,169,9848
"minority_owned_business_destruction_job",1,146,3158
"minority_owned_entry_rate",1,172,14195
"minority_owned_exit_business",1,172,14195
"minority_owned_exit_rate",1,172,14195
"minority_owned_job_creation_active",1,169,9848
"minority_owned_job_creation_new",1,169,9848
"minority_owned_job_destruction_active",1,146,3158
"minority_owned_job_destruction_exit",1,146,3158
"minority_owned_new_business",1,172,14195
"minority_owned_number_business",1,172,14195
"minority_owned_perc_job_creation_active",1,159,9537
"minority_owned_perc_job_creation_new",1,159,9537
"minority_owned_perc_job_destruction_active",1,146,3141
"minority_owned_perc_job_destruction_exit",1,146,3141
"minority_owned_total_employment",1,172,14195
"minority_owned_total_job_creation",1,169,9848
"minority_owned_total_job_destruction",1,146,3158
"NAICS11_business_create_job",1,146,2128
"NAICS11_business_destruction_job",1,137,2012
"NAICS11_entry_rate",1,174,7823
"NAICS11_exit_business",1,174,7823
"NAICS11_exit_rate",1,174,7823
"NAICS11_Herfindalh_Hirschman_index",1,174,0
"NAICS11_job_creation_active",1,146,2128
"NAICS11_job_creation_new",1,146,2128
"NAICS11_job_destruction_active",1,137,2012
"NAICS11_job_destruction_exit",1,137,2012
"NAICS11_Location_quotient",1,174,7823
"NAICS11_new_business",1,174,7823
"NAICS11_number_business",1,174,7823
"NAICS11_perc_job_creation_active",1,135,1983
"NAICS11_perc_job_creation_new",1,135,1983
"NAICS11_perc_job_destruction_active",1,137,2009
"NAICS11_perc_job_destruction_exit",1,137,2009
"NAICS11_total_employment",1,174,7823
"NAICS11_total_job_creation",1,146,2128
"NAICS11_total_job_destruction",1,137,2012
"NAICS21_business_create_job",1,85,209
"NAICS21_business_destruction_job",1,83,161
"NAICS21_entry_rate",1,155,1022
"NAICS21_exit_business",1,155,1022
"NAICS21_exit_rate",1,155,1022
"NAICS21_Herfindalh_Hirschman_index",1,155,0
"NAICS21_job_creation_active",1,85,209
"NAICS21_job_creation_new",1,85,209
"NAICS21_job_destruction_active",1,83,161
"NAICS21_job_destruction_exit",1,83,161
"NAICS21_Location_quotient",1,151,1012
"NAICS21_new_business",1,155,1022
"NAICS21_number_business",1,155,1022
"NAICS21_perc_job_creation_active",1,80,184
"NAICS21_perc_job_creation_new",1,80,184
"NAICS21_perc_job_destruction_active",1,79,151
"NAICS21_perc_job_destruction_exit",1,79,151
"NAICS21_total_employment",1,155,1022
"NAICS21_total_job_creation",1,85,209
"NAICS21_total_job_destruction",1,83,161
"NAICS22_business_create_job",1,128,823
"NAICS22_business_destruction_job",1,116,475
"NAICS22_entry_rate",1,160,3055
"NAICS22_exit_business",1,160,3055
"NAICS22_exit_rate",1,160,3055
"NAICS22_Herfindalh_Hirschman_index",1,160,0
"NAICS22_job_creation_active",1,128,823
"NAICS22_job_creation_new",1,128,823
"NAICS22_job_destruction_active",1,116,475
"NAICS22_job_destruction_exit",1,116,475
"NAICS22_Location_quotient",1,160,3055
"NAICS22_new_business",1,160,3055
"NAICS22_number_business",1,160,3055
"NAICS22_perc_job_creation_active",1,122,737
"NAICS22_perc_job_creation_new",1,122,737
"NAICS22_perc_job_destruction_active",1,112,438
"NAICS22_perc_job_destruction_exit",1,112,438
"NAICS22_total_employment",1,160,3055
"NAICS22_total_job_creation",1,128,823
"NAICS22_total_job_destruction",1,116,475
"NAICS23_business_create_job",1,173,11141
"NAICS23_business_destruction_job",1,158,10823
"NAICS23_entry_rate",1,176,14840
"NAICS23_exit_business",1,176,14840
"NAICS23_exit_rate",1,176,14840
"NAICS23_Herfindalh_Hirschman_index",1,176,0
"NAICS23_job_creation_active",1,173,11141
"NAICS23_job_creation_new",1,173,11141
"NAICS23_job_destruction_active",1,158,10823
"NAICS23_job_destruction_exit",1,158,10823
"NAICS23_Location_quotient",1,176,14840
"NAICS23_new_business",1,176,14840
"NAICS23_number_business",1,176,14840
"NAICS23_perc_job_creation_active",1,160,10372
"NAICS23_perc_job_creation_new",1,160,10372
"NAICS23_perc_job_destruction_active",1,158,10799
"NAICS23_perc_job_destruction_exit",1,158,10799
"NAICS23_total_employment",1,176,14840
"NAICS23_total_job_creation",1,173,11141
"NAICS23_total_job_destruction",1,158,10823
"NAICS31_33_business_create_job",1,168,5907
"NAICS31_33_business_destruction_job",1,151,5399
"NAICS31_33_entry_rate",1,175,13485
"NAICS31_33_exit_business",1,175,13485
"NAICS31_33_exit_rate",1,175,13485
"NAICS31_33_Herfindalh_Hirschman_index",1,175,0
"NAICS31_33_job_creation_active",1,168,5907
"NAICS31_33_job_creation_new",1,168,5907
"NAICS31_33_job_destruction_active",1,151,5399
"NAICS31_33_job_destruction_exit",1,151,5399
"NAICS31_33_Location_quotient",1,175,13485
"NAICS31_33_new_business",1,175,13485
"NAICS31_33_number_business",1,175,13485
"NAICS31_33_perc_job_creation_active",1,157,5460
"NAICS31_33_perc_job_creation_new",1,157,5460
"NAICS31_33_perc_job_destruction_active",1,150,5285
"NAICS31_33_perc_job_destruction_exit",1,150,5285
"NAICS31_33_total_employment",1,175,13485
"NAICS31_33_total_job_creation",1,168,5907
"NAICS31_33_total_job_destruction",1,151,5399
"NAICS42_business_create_job",1,170,6962
"NAICS42_business_destruction_job",1,156,7163
"NAICS42_entry_rate",1,174,14000
"NAICS42_exit_business",1,174,14000
"NAICS42_exit_rate",1,174,14000
"NAICS42_Herfindalh_Hirschman_index",1,174,0
"NAICS42_job_creation_active",1,170,6962
"NAICS42_job_creation_new",1,170,6962
"NAICS42_job_destruction_active",1,156,7163
"NAICS42_job_destruction_exit",1,156,7163
"NAICS42_Location_quotient",1,174,14000
"NAICS42_new_business",1,174,14000
"NAICS42_number_business",1,174,14000
"NAICS42_perc_job_creation_active",1,160,6571
"NAICS42_perc_job_creation_new",1,160,6571
"NAICS42_perc_job_destruction_active",1,156,7143
"NAICS42_perc_job_destruction_exit",1,156,7143
"NAICS42_total_employment",1,174,14000
"NAICS42_total_job_creation",1,170,6962
"NAICS42_total_job_destruction",1,156,7163
"NAICS44_45_business_create_job",1,174,11384
"NAICS44_45_business_destruction_job",1,157,10791
"NAICS44_45_entry_rate",1,175,14845
"NAICS44_45_exit_business",1,175,14845
"NAICS44_45_exit_rate",1,175,14845
"NAICS44_45_Herfindalh_Hirschman_index",1,175,0
"NAICS44_45_job_creation_active",1,174,11384
"NAICS44_45_job_creation_new",1,174,11384
"NAICS44_45_job_destruction_active",1,157,10791
"NAICS44_45_job_destruction_exit",1,157,10791
"NAICS44_45_Location_quotient",1,175,14845
"NAICS44_45_new_business",1,175,14845
"NAICS44_45_number_business",1,175,14845
"NAICS44_45_perc_job_creation_active",1,160,10340
"NAICS44_45_perc_job_creation_new",1,160,10340
"NAICS44_45_perc_job_destruction_active",1,157,10726
"NAICS44_45_perc_job_destruction_exit",1,157,10726
"NAICS44_45_total_employment",1,175,14845
"NAICS44_45_total_job_creation",1,174,11384
"NAICS44_45_total_job_destruction",1,157,10791
"NAICS48_49_business_create_job",1,170,8243
"NAICS48_49_business_destruction_job",1,155,6880
"NAICS48_49_entry_rate",1,174,14082
"NAICS48_49_exit_business",1,174,14082
"NAICS48_49_exit_rate",1,174,14082
"NAICS48_49_Herfindalh_Hirschman_index",1,174,0
"NAICS48_49_job_creation_active",1,170,8243
"NAICS48_49_job_creation_new",1,170,8243
"NAICS48_49_job_destruction_active",1,155,6880
"NAICS48_49_job_destruction_exit",1,155,6880
"NAICS48_49_Location_quotient",1,174,14082
"NAICS48_49_new_business",1,174,14082
"NAICS48_49_number_business",1,174,14082
"NAICS48_49_perc_job_creation_active",1,159,7844
"NAICS48_49_perc_job_creation_new",1,159,7844
"NAICS48_49_perc_job_destruction_active",1,154,6860
"NAICS48_49_perc_job_destruction_exit",1,154,6860
"NAICS48_49_total_employment",1,174,14082
"NAICS48_49_total_job_creation",1,170,8243
"NAICS48_49_total_job_destruction",1,155,6880
"NAICS51_business_create_job",1,169,8041
"NAICS51_business_destruction_job",1,152,7725
"NAICS51_entry_rate",1,174,14301
"NAICS51_exit_business",1,174,14301
"NAICS51_exit_rate",1,174,14301
"NAICS51_Herfindalh_Hirschman_index",1,174,0
"NAICS51_job_creation_active",1,169,8041
"NAICS51_job_creation_new",1,169,8041
"NAICS51_job_destruction_active",1,152,7725
"NAICS51_job_destruction_exit",1,152,7725
"NAICS51_Location_quotient",1,174,14301
"NAICS51_new_business",1,174,14301
"NAICS51_number_business",1,174,14301
"NAICS51_perc_job_creation_active",1,157,7246
"NAICS51_perc_job_creation_new",1,157,7246
"NAICS51_perc_job_destruction_active",1,151,7632
"NAICS51_perc_job_destruction_exit",1,151,7632
"NAICS51_total_employment",1,174,14301
"NAICS51_total_job_creation",1,169,8041
"NAICS51_total_job_destruction",1,152,7725
"NAICS52_business_create_job",1,170,8418
"NAICS52_business_destruction_job",1,155,8089
"NAICS52_entry_rate",1,175,14125
"NAICS52_exit_business",1,175,14125
"NAICS52_exit_rate",1,175,14125
"NAICS52_Herfindalh_Hirschman_index",1,175,0
"NAICS52_job_creation_active",1,170,8418
"NAICS52_job_creation_new",1,170,8418
"NAICS52_job_destruction_active",1,155,8089
"NAICS52_job_destruction_exit",1,155,8089
"NAICS52_Location_quotient",1,175,14125
"NAICS52_new_business",1,175,14125
"NAICS52_number_business",1,175,14125
"NAICS52_perc_job_creation_active",1,159,8057
"NAICS52_perc_job_creation_new",1,159,8057
"NAICS52_perc_job_destruction_active",1,155,8020
"NAICS52_perc_job_destruction_exit",1,155,8020
"NAICS52_total_employment",1,175,14125
"NAICS52_total_job_creation",1,170,8418
"NAICS52_total_job_destruction",1,155,8089
"NAICS53_business_create_job",1,169,9142
"NAICS53_business_destruction_job",1,154,8625
"NAICS53_entry_rate",1,174,14596
"NAICS53_exit_business",1,174,14596
"NAICS53_exit_rate",1,174,14596
"NAICS53_Herfindalh_Hirschman_index",1,174,0
"NAICS53_job_creation_active",1,169,9142
"NAICS53_job_creation_new",1,169,9142
"NAICS53_job_destruction_active",1,154,8625
"NAICS53_job_destruction_exit",1,154,8625
"NAICS53_Location_quotient",1,174,14596
"NAICS53_new_business",1,174,14596
"NAICS53_number_business",1,174,14596
"NAICS53_perc_job_creation_active",1,158,8719
"NAICS53_perc_job_creation_new",1,158,8719
"NAICS53_perc_job_destruction_active",1,154,8600
"NAICS53_perc_job_destruction_exit",1,154,8600
"NAICS53_total_employment",1,174,14596
"NAICS53_total_job_creation",1,169,9142
"NAICS53_total_job_destruction",1,154,8625
"NAICS54_business_create_job",1,173,13915
"NAICS54_business_destruction_job",1,158,12737
"NAICS54_entry_rate",1,175,14942
"NAICS54_exit_business",1,175,14942
"NAICS54_exit_rate",1,175,14942
"NAICS54_Herfindalh_Hirschman_index",1,175,0
"NAICS54_job_creation_active",1,173,13915
"NAICS54_job_creation_new",1,173,13915
"NAICS54_job_destruction_active",1,158,12737
"NAICS54_job_destruction_exit",1,158,12737
"NAICS54_Location_quotient",1,175,14942
"NAICS54_new_business",1,175,14942
"NAICS54_number_business",1,175,14942
"NAICS54_perc_job_creation_active",1,160,12819
"NAICS54_perc_job_creation_new",1,160,12819
"NAICS54_perc_job_destruction_active",1,158,12726
"NAICS54_perc_job_destruction_exit",1,158,12726
"NAICS54_total_employment",1,175,14942
"NAICS54_total_job_creation",1,173,13915
"NAICS54_total_job_destruction",1,158,12737
"NAICS55_business_create_job",1,144,2653
"NAICS55_business_destruction_job",1,134,2191
"NAICS55_entry_rate",1,162,7296
"NAICS55_exit_business",1,162,7296
"NAICS55_exit_rate",1,162,7296
"NAICS55_Herfindalh_Hirschman_index",1,162,0
"NAICS55_job_creation_active",1,144,2653
"NAICS55_job_creation_new",1,144,2653
"NAICS55_job_destruction_active",1,134,2191
"NAICS55_job_destruction_exit",1,134,2191
"NAICS55_Location_quotient",1,162,7296
"NAICS55_new_business",1,162,7296
"NAICS55_number_business",1,162,7296
"NAICS55_perc_job_creation_active",1,136,1781
"NAICS55_perc_job_creation_new",1,136,1781
"NAICS55_perc_job_destruction_active",1,130,1616
"NAICS55_perc_job_destruction_exit",1,130,1616
"NAICS55_total_employment",1,162,7296
"NAICS55_total_job_creation",1,144,2653
"NAICS55_total_job_destruction",1,134,2191
"NAICS56_business_create_job",1,173,13632
"NAICS56_business_destruction_job",1,159,12921
"NAICS56_entry_rate",1,176,14930
"NAICS56_exit_business",1,176,14930
"NAICS56_exit_rate",1,176,14930
"NAICS56_Herfindalh_Hirschman_index",1,176,0
"NAICS56_job_creation_active",1,173,13632
"NAICS56_job_creation_new",1,173,13632
"NAICS56_job_destruction_active",1,159,12921
"NAICS56_job_destruction_exit",1,159,12921
"NAICS56_Location_quotient",1,176,14929
"NAICS56_new_business",1,176,14930
"NAICS56_number_business",1,176,14930
"NAICS56_perc_job_creation_active",1,160,12357
"NAICS56_perc_job_creation_new",1,160,12357
"NAICS56_perc_job_destruction_active",1,159,12907
"NAICS56_perc_job_destruction_exit",1,159,12907
"NAICS56_total_employment",1,176,14930
"NAICS56_total_job_creation",1,173,13632
"NAICS56_total_job_destruction",1,159,12921
"NAICS61_business_create_job",1,167,6973
"NAICS61_business_destruction_job",1,152,5706
"NAICS61_entry_rate",1,174,14077
"NAICS61_exit_business",1,174,14077
"NAICS61_exit_rate",1,174,14077
"NAICS61_Herfindalh_Hirschman_index",1,174,0
"NAICS61_job_creation_active",1,167,6973
"NAICS61_job_creation_new",1,167,6973
"NAICS61_job_destruction_active",1,152,5706
"NAICS61_job_destruction_exit",1,152,5706
"NAICS61_Location_quotient",1,174,14077
"NAICS61_new_business",1,174,14077
"NAICS61_number_business",1,174,14077
"NAICS61_perc_job_creation_active",1,156,6273
"NAICS61_perc_job_creation_new",1,156,6273
"NAICS61_perc_job_destruction_active",1,152,5427
"NAICS61_perc_job_destruction_exit",1,152,5427
"NAICS61_total_employment",1,174,14077
"NAICS61_total_job_creation",1,167,6973
"NAICS61_total_job_destruction",1,152,5706
"NAICS62_business_create_job",1,170,11815
"NAICS62_business_destruction_job",1,155,10617
"NAICS62_entry_rate",1,175,14804
"NAICS62_exit_business",1,175,14804
"NAICS62_exit_rate",1,175,14804
"NAICS62_Herfindalh_Hirschman_index",1,175,0
"NAICS62_job_creation_active",1,170,11815
"NAICS62_job_creation_new",1,170,11815
"NAICS62_job_destruction_active",1,155,10617
"NAICS62_job_destruction_exit",1,155,10617
"NAICS62_Location_quotient",1,175,14804
"NAICS62_new_business",1,175,14804
"NAICS62_number_business",1,175,14804
"NAICS62_perc_job_creation_active",1,158,10775
"NAICS62_perc_job_creation_new",1,158,10775
"NAICS62_perc_job_destruction_active",1,155,10542
"NAICS62_perc_job_destruction_exit",1,155,10542
"NAICS62_total_employment",1,175,14804
"NAICS62_total_job_creation",1,170,11815
"NAICS62_total_job_destruction",1,155,10617
"NAICS71_business_create_job",1,166,7469
"NAICS71_business_destruction_job",1,155,6788
"NAICS71_entry_rate",1,175,14190
"NAICS71_exit_business",1,175,14190
"NAICS71_exit_rate",1,175,14190
"NAICS71_Herfindalh_Hirschman_index",1,175,0
"NAICS71_job_creation_active",1,166,7469
"NAICS71_job_creation_new",1,166,7469
"NAICS71_job_destruction_active",1,155,6788
"NAICS71_job_destruction_exit",1,155,6788
"NAICS71_Location_quotient",1,175,14190
"NAICS71_new_business",1,175,14190
"NAICS71_number_business",1,175,14190
"NAICS71_perc_job_creation_active",1,154,6834
"NAICS71_perc_job_creation_new",1,154,6834
"NAICS71_perc_job_destruction_active",1,154,6554
"NAICS71_perc_job_destruction_exit",1,154,6554
"NAICS71_total_employment",1,175,14190
"NAICS71_total_job_creation",1,166,7469
"NAICS71_total_job_destruction",1,155,6788
"NAICS72_business_create_job",1,171,9246
"NAICS72_business_destruction_job",1,155,7651
"NAICS72_entry_rate",1,175,14193
"NAICS72_exit_business",1,175,14193
"NAICS72_exit_rate",1,175,14193
"NAICS72_Herfindalh_Hirschman_index",1,175,0
"NAICS72_job_creation_active",1,171,9246
"NAICS72_job_creation_new",1,171,9246
"NAICS72_job_destruction_active",1,155,7651
"NAICS72_job_destruction_exit",1,155,7651
"NAICS72_Location_quotient",1,174,14191
"NAICS72_new_business",1,175,14193
"NAICS72_number_business",1,175,14193
"NAICS72_perc_job_creation_active",1,157,8402
"NAICS72_perc_job_creation_new",1,157,8402
"NAICS72_perc_job_destruction_active",1,150,6276
"NAICS72_perc_job_destruction_exit",1,150,6276
"NAICS72_total_employment",1,175,14193
"NAICS72_total_job_creation",1,171,9246
"NAICS72_total_job_destruction",1,155,7651
"NAICS81_business_create_job",1,174,12706
