geoid,year,measure,value,moe
51001,2015.0,employment_access_index,1797.0,
51001,2016.0,employment_access_index,1899.25,
51001,2017.0,employment_access_index,2001.5,
51001,2018.0,employment_access_index,2103.75,
51001,2019.0,employment_access_index,2206.0,
51001,2020.0,employment_access_index,2051.0,
51001,2021.0,employment_access_index,2051.0,
51003,2015.0,employment_access_index,10795.0,
51003,2016.0,employment_access_index,11208.25,
51003,2017.0,employment_access_index,11621.5,
51003,2018.0,employment_access_index,12034.75,
51003,2019.0,employment_access_index,12448.0,
51003,2020.0,employment_access_index,12688.0,
51003,2021.0,employment_access_index,12688.0,
51005,2015.0,employment_access_index,1748.0,
51005,2016.0,employment_access_index,1804.75,
51005,2017.0,employment_access_index,1861.5,
51005,2018.0,employment_access_index,1918.25,
51005,2019.0,employment_access_index,1975.0,
51005,2020.0,employment_access_index,1919.0,
51005,2021.0,employment_access_index,1919.0,
51007,2015.0,employment_access_index,2105.0,
51007,2016.0,employment_access_index,2191.25,
51007,2017.0,employment_access_index,2277.5,
51007,2018.0,employment_access_index,2363.75,
51007,2019.0,employment_access_index,2450.0,
51007,2020.0,employment_access_index,2459.0,
51007,2021.0,employment_access_index,2459.0,
51009,2015.0,employment_access_index,3758.0,
51009,2016.0,employment_access_index,3812.0,
51009,2017.0,employment_access_index,3866.0,
51009,2018.0,employment_access_index,3920.0,
51009,2019.0,employment_access_index,3974.0,
51009,2020.0,employment_access_index,3918.0,
51009,2021.0,employment_access_index,3918.0,
51011,2015.0,employment_access_index,1867.0,
51011,2016.0,employment_access_index,1929.75,
51011,2017.0,employment_access_index,1992.5,
51011,2018.0,employment_access_index,2055.25,
51011,2019.0,employment_access_index,2118.0,
51011,2020.0,employment_access_index,2098.0,
51011,2021.0,employment_access_index,2098.0,
51013,2015.0,employment_access_index,120016.0,
51013,2016.0,employment_access_index,122628.0,
51013,2017.0,employment_access_index,125240.0,
51013,2018.0,employment_access_index,127852.0,
51013,2019.0,employment_access_index,130464.0,
51013,2020.0,employment_access_index,130244.0,
51013,2021.0,employment_access_index,130244.0,
51015,2015.0,employment_access_index,3155.0,
51015,2016.0,employment_access_index,3242.5,
51015,2017.0,employment_access_index,3330.0,
51015,2018.0,employment_access_index,3417.5,
51015,2019.0,employment_access_index,3505.0,
51015,2020.0,employment_access_index,3496.0,
51015,2021.0,employment_access_index,3496.0,
51017,2015.0,employment_access_index,1399.0,
51017,2016.0,employment_access_index,1492.75,
51017,2017.0,employment_access_index,1586.5,
51017,2018.0,employment_access_index,1680.25,
51017,2019.0,employment_access_index,1774.0,
51017,2020.0,employment_access_index,1841.0,
51017,2021.0,employment_access_index,1841.0,
51019,2015.0,employment_access_index,3433.0,
51019,2016.0,employment_access_index,3510.75,
51019,2017.0,employment_access_index,3588.5,
51019,2018.0,employment_access_index,3666.25,
51019,2019.0,employment_access_index,3744.0,
51019,2020.0,employment_access_index,3400.0,
51019,2021.0,employment_access_index,3400.0,
51021,2015.0,employment_access_index,1256.0,
51021,2016.0,employment_access_index,1413.5,
51021,2017.0,employment_access_index,1571.0,
51021,2018.0,employment_access_index,1728.5,
51021,2019.0,employment_access_index,1886.0,
51021,2020.0,employment_access_index,1899.0,
51021,2021.0,employment_access_index,1899.0,
51023,2015.0,employment_access_index,3651.0,
51023,2016.0,employment_access_index,3776.75,
51023,2017.0,employment_access_index,3902.5,
51023,2018.0,employment_access_index,4028.25,
51023,2019.0,employment_access_index,4154.0,
51023,2020.0,employment_access_index,4117.0,
51023,2021.0,employment_access_index,4117.0,
51025,2015.0,employment_access_index,1464.0,
51025,2016.0,employment_access_index,1579.25,
51025,2017.0,employment_access_index,1694.5,
51025,2018.0,employment_access_index,1809.75,
51025,2019.0,employment_access_index,1925.0,
51025,2020.0,employment_access_index,1803.0,
51025,2021.0,employment_access_index,1803.0,
51027,2015.0,employment_access_index,1292.0,
51027,2016.0,employment_access_index,1371.75,
