tract,cbsa,other_1,other_2,other_3,other_4,other_5,other_6,other_7
51059415100,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059415200,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059415300,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059415401,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059415402,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059415500,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059415600,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059415700,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059415800,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059415900,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059416000,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059416100,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059416200,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059416300,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059420100,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059420201,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059420202,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059420203,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059420300,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059420400,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059420501,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059420502,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059420503,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059420600,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059420700,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059420800,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059421001,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059421002,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059421101,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059421102,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059421103,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059421200,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059421300,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059421400,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059421500,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059421600,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059421701,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059421702,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059421800,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059421900,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059422000,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059422101,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
