"PUMA","age","rank","grouped_OCCP_label_female","grouped_OCCP_label_male","n_female","n_male","n_se_female","n_se_male"
"59301","16 to 29",1,"Sales and Related","Construction and Extraction",1339,1351,231.872270873427,290.666561544323
"59301","16 to 29",2,"Office and Administrative Support","Food Preparation and Serving Related",1300,1234,272.455409195707,267.386517984733
"59301","16 to 29",3,"Food Preparation and Serving Related","Transportation and Material Moving",1193,1035,210.294674207408,219.766125688196
"59301","16 to 29",4,"Building and Grounds Cleaning and Maintenance","Sales and Related",619,982,149.332012642969,218.280782479814
"59301","16 to 29",5,"Educational Instruction and Library","Computer and Mathematical",562,936,129.566392247373,199.66634668867
"59301","30 to 49",1,"Management","Construction and Extraction",2452,3863,316.128217658595,448.472797391324
"59301","30 to 49",2,"Building and Grounds Cleaning and Maintenance","Management",1781,2981,268.059694844264,341.52459647879
"59301","30 to 49",3,"Office and Administrative Support","Computer and Mathematical",1526,2305,309.094807462047,248.563875090489
"59301","30 to 49",4,"Educational Instruction and Library","Transportation and Material Moving",1471,1597,261.946273117218,267.56672065113
"59301","30 to 49",5,"Sales and Related","Business Operations",1364,1511,230.495986949882,253.563897272463
"59301","over 50",1,"Office and Administrative Support","Management",2270,2626,231.00389607104,307.085900034502
"59301","over 50",2,"Management","Construction and Extraction",1533,2223,158.565759229412,328.958128034557
"59301","over 50",3,"Educational Instruction and Library","Transportation and Material Moving",1502,1639,174.412442216718,226.118000168054
"59301","over 50",4,"Sales and Related","Computer and Mathematical",1223,1217,151.219046419424,157.8949017543
"59301","over 50",5,"Building and Grounds Cleaning and Maintenance","Office and Administrative Support",1162,1040,202.503703669834,144.061618760862
"59302","16 to 29",1,"Food Preparation and Serving Related","Sales and Related",1438,1118,237.588299375201,234.944887154413
"59302","16 to 29",2,"Sales and Related","Transportation and Material Moving",1218,803,202.484320380616,195.504603526362
"59302","16 to 29",3,"Office and Administrative Support","Construction and Extraction",1202,781,217.209000734316,169.277582685954
"59302","16 to 29",4,"Personal Care and Service","Food Preparation and Serving Related",657,674,146.766140509315,198.541179607657
"59302","16 to 29",5,"Educational Instruction and Library","Building and Grounds Cleaning and Maintenance",470,579,96.0015624872846,150.985760918042
"59302","16 to 29",6,NA,"Office and Administrative Support",NA,579,NA,164.481457921554
