"","geoid","value","year","measure","moe"
"1","51760030100",96097.7576452246,2015,"employment_access_index",NA
"2","51710004800",66519.8163538517,2015,"employment_access_index",NA
"3","51760020200",44679,2015,"employment_access_index",NA
"4","51770002502",30293.4309754854,2015,"employment_access_index",NA
"5","51710004200",66734,2015,"employment_access_index",NA
"6","51760030501",99451,2015,"employment_access_index",NA
"7","51760020100",55550.7898123909,2015,"employment_access_index",NA
"8","51710004100",69233,2015,"employment_access_index",NA
"9","51730810100",12491,2015,"employment_access_index",NA
"10","51700030100",22934,2015,"employment_access_index",NA
"11","51740211800",28976,2015,"employment_access_index",NA
"12","51710003501",56720,2015,"employment_access_index",NA
"13","51003010904",24082.1862426527,2015,"employment_access_index",NA
"14","51013101704",215730,2015,"employment_access_index",NA
"15","51013101408",124976.65834246,2015,"employment_access_index",NA
"16","51760020400",75439.5324231156,2015,"employment_access_index",NA
"17","51740210500",29452,2015,"employment_access_index",NA
"18","51059451400",72420,2015,"employment_access_index",NA
"19","51760040300",96775,2015,"employment_access_index",NA
"20","51013102701",92286,2015,"employment_access_index",NA
"21","51760060800",22581.7336911457,2015,"employment_access_index",NA
"22","51590000400",7594.22309423198,2015,"employment_access_index",NA
"23","51730810600",9292,2015,"employment_access_index",NA
"24","51059451601",69714,2015,"employment_access_index",NA
"25","51730810700",10115.2276978812,2015,"employment_access_index",NA
"26","51760010300",27978,2015,"employment_access_index",NA
"27","51510201206",93430,2015,"employment_access_index",NA
"28","51013103505",132184,2015,"employment_access_index",NA
"29","51700030600",24609,2015,"employment_access_index",NA
"30","51013103503",133029,2015,"employment_access_index",NA
"31","51760021000",26216.6840532113,2015,"employment_access_index",NA
"32","51710005100",34489,2015,"employment_access_index",NA
"33","51650011400",20964,2015,"employment_access_index",NA
"34","51087200805",25600,2015,"employment_access_index",NA
"35","51013103602",118759.749803998,2015,"employment_access_index",NA
"36","51700030800",32740.6648314989,2015,"employment_access_index",NA
"37","51760060900",19568.4748189613,2015,"employment_access_index",NA
"38","51590000500",13589,2015,"employment_access_index",NA
"39","51013101603",211017.795538776,2015,"employment_access_index",NA
"40","51760070601",25982,2015,"employment_access_index",NA
"41","51700030400",27298,2015,"employment_access_index",NA
"42","51105950301",1606,2015,"employment_access_index",NA
"43","51740212100",36631,2015,"employment_access_index",NA
"44","51059461902",53165.4494890623,2015,"employment_access_index",NA
"45","51800065500",9838,2015,"employment_access_index",NA
"46","51710000902",14449.1469269621,2015,"employment_access_index",NA
"47","51760060700",29831,2015,"employment_access_index",NA
"48","51710002900",42167.223472161,2015,"employment_access_index",NA
"49","51800065100",10815.1277460924,2015,"employment_access_index",NA
"50","51710001300",17874,2015,"employment_access_index",NA
"51","51710002700",45495.2535652773,2015,"employment_access_index",NA
"52","51680001100",19066,2015,"employment_access_index",NA
"53","51680000600",20530,2015,"employment_access_index",NA
"54","51710004300",48856.6975428041,2015,"employment_access_index",NA
"55","51041100406",11250,2015,"employment_access_index",NA
"56","51590001000",9022,2015,"employment_access_index",NA
"57","51710005701",21300,2015,"employment_access_index",NA
"58","51041100404",10936.6672802346,2015,"employment_access_index",NA
"59","51770001000",25781,2015,"employment_access_index",NA
"60","51510201205",93430,2015,"employment_access_index",NA
"61","51595890100",4628.37526388665,2015,"employment_access_index",NA
"62","51550020100",27987.9100486968,2015,"employment_access_index",NA
"63","51013101804",166973.495136391,2015,"employment_access_index",NA
"64","51710002500",23230.6543585238,2015,"employment_access_index",NA
"65","51620090200",4126,2015,"employment_access_index",NA
"66","51510200102",73710,2015,"employment_access_index",NA
"67","51121020301",10987,2015,"employment_access_index",NA
"68","51770002600",30051,2015,"employment_access_index",NA
"69","51013102001",119078,2015,"employment_access_index",NA
"70","51510200304",69826.9155109534,2015,"employment_access_index",NA
"71","51760030200",99652,2015,"employment_access_index",NA
"72","51680000400",14946,2015,"employment_access_index",NA
"73","51510200106",80904.1894639288,2015,"employment_access_index",NA
"74","51013101705",215730,2015,"employment_access_index",NA
"75","51510200108",69058,2015,"employment_access_index",NA
"76","51810045810",22222.028989689,2015,"employment_access_index",NA
"77","51013103300",121632.203877569,2015,"employment_access_index",NA
"78","51710004600",36303,2015,"employment_access_index",NA
"79","51770000900",18741,2015,"employment_access_index",NA
"80","51520020201",6691,2015,"employment_access_index",NA
"81","51810040600",40265,2015,"employment_access_index",NA
"82","51700032300",6941.01938700375,2015,"employment_access_index",NA
"83","51059415401",33540,2015,"employment_access_index",NA
"84","51700032006",18314,2015,"employment_access_index",NA
"85","51710001400",21274,2015,"employment_access_index",NA
"86","51710003400",42712.927368421,2015,"employment_access_index",NA
"87","51730810400",9017.54934972018,2015,"employment_access_index",NA
"88","51680000700",18882,2015,"employment_access_index",NA
"89","51760071004",30372.9315912158,2015,"employment_access_index",NA
