"","geoid","value","year","measure","moe"
"1","51760030100",4,2017,"access_care_indicator",NA
"2","51710004800",3,2017,"access_care_indicator",NA
"3","51760020200",4,2017,"access_care_indicator",NA
"4","51770002502",3,2017,"access_care_indicator",NA
"5","51710004200",3,2017,"access_care_indicator",NA
"6","51760030501",4,2017,"access_care_indicator",NA
"7","51760020100",4,2017,"access_care_indicator",NA
"8","51710004100",3,2017,"access_care_indicator",NA
"9","51730810100",3,2017,"access_care_indicator",NA
"10","51700030100",4,2017,"access_care_indicator",NA
"11","51740211800",3,2017,"access_care_indicator",NA
"12","51710003501",3,2017,"access_care_indicator",NA
"13","51003010904",3.73855551461209,2017,"access_care_indicator",NA
"14","51013101704",2,2017,"access_care_indicator",NA
"15","51013101408",3,2017,"access_care_indicator",NA
"16","51760020400",4,2017,"access_care_indicator",NA
"17","51740210500",3,2017,"access_care_indicator",NA
"18","51059451400",3,2017,"access_care_indicator",NA
"19","51760040300",4,2017,"access_care_indicator",NA
"20","51013102701",3,2017,"access_care_indicator",NA
"21","51760060800",4,2017,"access_care_indicator",NA
"22","51590000400",1,2017,"access_care_indicator",NA
"23","51730810600",3,2017,"access_care_indicator",NA
"24","51059451601",3,2017,"access_care_indicator",NA
"25","51730810700",3,2017,"access_care_indicator",NA
"26","51760010300",4,2017,"access_care_indicator",NA
"27","51510201206",2,2017,"access_care_indicator",NA
"28","51013103505",2,2017,"access_care_indicator",NA
"29","51700030600",4,2017,"access_care_indicator",NA
"30","51013103503",1,2017,"access_care_indicator",NA
"31","51760021000",4,2017,"access_care_indicator",NA
"32","51710005100",3,2017,"access_care_indicator",NA
"33","51650011400",4,2017,"access_care_indicator",NA
"34","51087200805",4,2017,"access_care_indicator",NA
"35","51013103602",2,2017,"access_care_indicator",NA
"36","51700030800",5,2017,"access_care_indicator",NA
"37","51760060900",4,2017,"access_care_indicator",NA
"38","51590000500",1,2017,"access_care_indicator",NA
"39","51013101603",2,2017,"access_care_indicator",NA
"40","51760070601",5,2017,"access_care_indicator",NA
"41","51700030400",4,2017,"access_care_indicator",NA
"42","51105950301",1,2017,"access_care_indicator",NA
"43","51740212100",3,2017,"access_care_indicator",NA
"44","51059461902",5,2017,"access_care_indicator",NA
"45","51800065500",3,2017,"access_care_indicator",NA
"46","51710000902",1.0032213378003,2017,"access_care_indicator",NA
"47","51760060700",4,2017,"access_care_indicator",NA
"48","51710002900",3,2017,"access_care_indicator",NA
"49","51800065100",3,2017,"access_care_indicator",NA
"50","51710001300",3,2017,"access_care_indicator",NA
"51","51710002700",3,2017,"access_care_indicator",NA
"52","51680001100",2,2017,"access_care_indicator",NA
"53","51680000600",2,2017,"access_care_indicator",NA
"54","51710004300",3,2017,"access_care_indicator",NA
"55","51041100406",4,2017,"access_care_indicator",NA
"56","51590001000",1,2017,"access_care_indicator",NA
"57","51710005701",3,2017,"access_care_indicator",NA
"58","51041100404",4,2017,"access_care_indicator",NA
"59","51770001000",3,2017,"access_care_indicator",NA
"60","51510201205",2,2017,"access_care_indicator",NA
