"","geoid","value","year","measure","moe"
"1","51760030100",0.69,2018,"walkability_index_raw",NA
"2","51710004800",0.729,2018,"walkability_index_raw",NA
"3","51760020200",0.679,2018,"walkability_index_raw",NA
"4","51770002502",0.736,2018,"walkability_index_raw",NA
"5","51710004200",0.729,2018,"walkability_index_raw",NA
"6","51760030501",0.915,2018,"walkability_index_raw",NA
"7","51760020100",0.604,2018,"walkability_index_raw",NA
"8","51710004100",0.661,2018,"walkability_index_raw",NA
"9","51730810100",0.41,2018,"walkability_index_raw",NA
"10","51700030100",0.751,2018,"walkability_index_raw",NA
"11","51740211800",0.627,2018,"walkability_index_raw",NA
"12","51710003501",0.678,2018,"walkability_index_raw",NA
"13","51003010904",0.628,2018,"walkability_index_raw",NA
"14","51013101704",0.832,2018,"walkability_index_raw",NA
"15","51013101408",0.849,2018,"walkability_index_raw",NA
"16","51760020400",0.614,2018,"walkability_index_raw",NA
"17","51740210500",0.903,2018,"walkability_index_raw",NA
"18","51059451400",0.946,2018,"walkability_index_raw",NA
"19","51760040300",0.739,2018,"walkability_index_raw",NA
"20","51013102701",0.634,2018,"walkability_index_raw",NA
"21","51760060800",0.656,2018,"walkability_index_raw",NA
"22","51590000400",0.252,2018,"walkability_index_raw",NA
"23","51730810600",0.313,2018,"walkability_index_raw",NA
"24","51059451601",0.863,2018,"walkability_index_raw",NA
"25","51730810700",0.487,2018,"walkability_index_raw",NA
"26","51760010300",0.565,2018,"walkability_index_raw",NA
"27","51510201206",0.726,2018,"walkability_index_raw",NA
"28","51013103505",0.902,2018,"walkability_index_raw",NA
"29","51700030600",0.72,2018,"walkability_index_raw",NA
"30","51013103503",0.708,2018,"walkability_index_raw",NA
"31","51760021000",0.64,2018,"walkability_index_raw",NA
"32","51710005100",0.721,2018,"walkability_index_raw",NA
"33","51650011400",0.546,2018,"walkability_index_raw",NA
"34","51087200805",0.661,2018,"walkability_index_raw",NA
"35","51013103602",0.898,2018,"walkability_index_raw",NA
"36","51700030800",0.613,2018,"walkability_index_raw",NA
"37","51760060900",0.836,2018,"walkability_index_raw",NA
"38","51590000500",0.47,2018,"walkability_index_raw",NA
"39","51013101603",0.727,2018,"walkability_index_raw",NA
"40","51760070601",0.517,2018,"walkability_index_raw",NA
"41","51700030400",0.621,2018,"walkability_index_raw",NA
"42","51105950301",0.232,2018,"walkability_index_raw",NA
"43","51740212100",0.804,2018,"walkability_index_raw",NA
"44","51059461902",0.353,2018,"walkability_index_raw",NA
"45","51800065500",0.314,2018,"walkability_index_raw",NA
"46","51710000902",0.487,2018,"walkability_index_raw",NA
"47","51760060700",0.656,2018,"walkability_index_raw",NA
"48","51710002900",0.774,2018,"walkability_index_raw",NA
"49","51800065100",0.292,2018,"walkability_index_raw",NA
"50","51710001300",0.637,2018,"walkability_index_raw",NA
"51","51710002700",0.896,2018,"walkability_index_raw",NA
"52","51680001100",0.858,2018,"walkability_index_raw",NA
"53","51680000600",0.927,2018,"walkability_index_raw",NA
"54","51710004300",0.715,2018,"walkability_index_raw",NA
"55","51041100406",0.729,2018,"walkability_index_raw",NA
"56","51590001000",0.356,2018,"walkability_index_raw",NA
"57","51710005701",0.777,2018,"walkability_index_raw",NA
"58","51041100404",0.529,2018,"walkability_index_raw",NA
"59","51770001000",0.832,2018,"walkability_index_raw",NA
"60","51510201205",0.726,2018,"walkability_index_raw",NA
"61","51595890100",0.331,2018,"walkability_index_raw",NA
"62","51550020100",0.63,2018,"walkability_index_raw",NA
"63","51013101804",0.718,2018,"walkability_index_raw",NA
"64","51710002500",0.435,2018,"walkability_index_raw",NA
"65","51620090200",0.323,2018,"walkability_index_raw",NA
"66","51510200102",0.838,2018,"walkability_index_raw",NA
"67","51121020301",0.481,2018,"walkability_index_raw",NA
"68","51770002600",0.73,2018,"walkability_index_raw",NA
"69","51013102001",0.607,2018,"walkability_index_raw",NA
"70","51510200304",0.683,2018,"walkability_index_raw",NA
"71","51760030200",0.927,2018,"walkability_index_raw",NA
"72","51680000400",0.719,2018,"walkability_index_raw",NA
"73","51510200106",0.683,2018,"walkability_index_raw",NA
"74","51013101705",0.832,2018,"walkability_index_raw",NA
"75","51510200108",0.62,2018,"walkability_index_raw",NA
"76","51810045810",0.632,2018,"walkability_index_raw",NA
"77","51013103300",0.462,2018,"walkability_index_raw",NA
"78","51710004600",0.579,2018,"walkability_index_raw",NA
"79","51770000900",0.668,2018,"walkability_index_raw",NA
"80","51520020201",0.584,2018,"walkability_index_raw",NA
"81","51810040600",0.772,2018,"walkability_index_raw",NA
"82","51700032300",0.704,2018,"walkability_index_raw",NA
"83","51059415401",0.683,2018,"walkability_index_raw",NA
"84","51700032006",0.451,2018,"walkability_index_raw",NA
"85","51710001400",0.659,2018,"walkability_index_raw",NA
"86","51710003400",0.758,2018,"walkability_index_raw",NA
"87","51730810400",0.351,2018,"walkability_index_raw",NA
"88","51680000700",0.901,2018,"walkability_index_raw",NA
"89","51760071004",0.623,2018,"walkability_index_raw",NA
"90","51710001100",0.549,2018,"walkability_index_raw",NA
"91","51013101701",0.758,2018,"walkability_index_raw",NA
"92","51710005901",0.622,2018,"walkability_index_raw",NA
"93","51059450702",0.701,2018,"walkability_index_raw",NA
"94","51680001900",0.655,2018,"walkability_index_raw",NA
"95","51710004400",0.661,2018,"walkability_index_raw",NA
"96","51710005500",0.684,2018,"walkability_index_raw",NA
"97","51059480203",0.884,2018,"walkability_index_raw",NA
"98","51177020313",0.335,2018,"walkability_index_raw",NA
"99","51710004500",0.836,2018,"walkability_index_raw",NA
"100","51510200409",0.817,2018,"walkability_index_raw",NA
"101","51730811200",0.324,2018,"walkability_index_raw",NA
"102","51670820100",0.458,2018,"walkability_index_raw",NA
"103","51013103504",0.902,2018,"walkability_index_raw",NA
"104","51510200109",0.62,2018,"walkability_index_raw",NA
"105","51059480205",0.727,2018,"walkability_index_raw",NA
"106","51013102200",0.661,2018,"walkability_index_raw",NA
"107","51540000202",0.824,2018,"walkability_index_raw",NA
"108","51540000401",0.792,2018,"walkability_index_raw",NA
"109","51680000205",0.719,2018,"walkability_index_raw",NA
"110","51710005800",0.622,2018,"walkability_index_raw",NA
"111","51199050207",0.289,2018,"walkability_index_raw",NA
"112","51760020700",0.855,2018,"walkability_index_raw",NA
"113","51710001600",0.76,2018,"walkability_index_raw",NA
"114","51700032126",0.73,2018,"walkability_index_raw",NA
"115","51740211100",0.839,2018,"walkability_index_raw",NA
"116","51550020910",0.476,2018,"walkability_index_raw",NA
"117","51730811300",0.57,2018,"walkability_index_raw",NA
"118","51153900203",0.442,2018,"walkability_index_raw",NA
"119","51710004002",0.815,2018,"walkability_index_raw",NA
"120","51550020500",0.555,2018,"walkability_index_raw",NA
"121","51059421500",0.771,2018,"walkability_index_raw",NA
"122","51710006400",0.627,2018,"walkability_index_raw",NA
"123","51510201602",0.929,2018,"walkability_index_raw",NA
"124","51700032123",0.568,2018,"walkability_index_raw",NA
"125","51153900602",0.553,2018,"walkability_index_raw",NA
"126","51710006501",0.657,2018,"walkability_index_raw",NA
"127","51149850200",0.248,2018,"walkability_index_raw",NA
"128","51650010504",0.578,2018,"walkability_index_raw",NA
"129","51630000400",0.623,2018,"walkability_index_raw",NA
"130","51760040400",0.772,2018,"walkability_index_raw",NA
"131","51003010901",0.584,2018,"walkability_index_raw",NA
"132","51760060200",0.726,2018,"walkability_index_raw",NA
"133","51510200104",0.576,2018,"walkability_index_raw",NA
"134","51730810500",0.18,2018,"walkability_index_raw",NA
"135","51760020501",0.916,2018,"walkability_index_raw",NA
"136","51670820300",0.547,2018,"walkability_index_raw",NA
"137","51041100107",0.69,2018,"walkability_index_raw",NA
"138","51041100806",0.346,2018,"walkability_index_raw",NA
"139","51059451502",0.974,2018,"walkability_index_raw",NA
"140","51740212000",0.7,2018,"walkability_index_raw",NA
"141","51700030900",0.626,2018,"walkability_index_raw",NA
"142","51700031902",0.659,2018,"walkability_index_raw",NA
"143","51660000302",0.737,2018,"walkability_index_raw",NA
"144","51137110200",0.376,2018,"walkability_index_raw",NA
"145","51770002501",0.747,2018,"walkability_index_raw",NA
"146","51087200153",0.562,2018,"walkability_index_raw",NA
"147","51059452700",0.647,2018,"walkability_index_raw",NA
"148","51800065302",0.511,2018,"walkability_index_raw",NA
"149","51650010900",0.729,2018,"walkability_index_raw",NA
"150","51013102002",0.719,2018,"walkability_index_raw",NA
"151","51700032128",0.68,2018,"walkability_index_raw",NA
"152","51059480204",0.727,2018,"walkability_index_raw",NA
"153","51087200417",0.701,2018,"walkability_index_raw",NA
"154","51013101409",0.859,2018,"walkability_index_raw",NA
"155","51059420503",0.675,2018,"walkability_index_raw",NA
"156","51700031701",0.606,2018,"walkability_index_raw",NA
"157","51059452801",0.713,2018,"walkability_index_raw",NA
"158","51550020300",0.757,2018,"walkability_index_raw",NA
"159","51013102003",0.816,2018,"walkability_index_raw",NA
"160","51001090402",0.166,2018,"walkability_index_raw",NA
"161","51143010301",0.112,2018,"walkability_index_raw",NA
"162","51760060400",0.729,2018,"walkability_index_raw",NA
"163","51153901403",0.777,2018,"walkability_index_raw",NA
"164","51153901419",0.534,2018,"walkability_index_raw",NA
"165","51059421701",0.652,2018,"walkability_index_raw",NA
"166","51510200408",0.819,2018,"walkability_index_raw",NA
"167","51760040201",0.838,2018,"walkability_index_raw",NA
