"","geoid","year","measure","value","moe"
"1","51760030100",2021,"incarceration_rate_per_100000",2738,NA
"2","51710004800",2021,"incarceration_rate_per_100000",2561,NA
"3","51760020200",2021,"incarceration_rate_per_100000",2623,NA
"4","51770002502",2021,"incarceration_rate_per_100000",2021,NA
"5","51710004200",2021,"incarceration_rate_per_100000",2435,NA
"6","51760030501",2021,"incarceration_rate_per_100000",1152,NA
"7","51760020100",2021,"incarceration_rate_per_100000",2491,NA
"8","51710004100",2021,"incarceration_rate_per_100000",2266,NA
"9","51730810100",2021,"incarceration_rate_per_100000",2328,NA
"10","51700030100",2021,"incarceration_rate_per_100000",1501,NA
"11","51740211800",2021,"incarceration_rate_per_100000",2088,NA
"12","51710003501",2021,"incarceration_rate_per_100000",2040,NA
"13","51003010904",2021,"incarceration_rate_per_100000",886,NA
"14","51013101704",2021,"incarceration_rate_per_100000",296,NA
"15","51013101408",2021,"incarceration_rate_per_100000",415,NA
"16","51760020400",2021,"incarceration_rate_per_100000",1853,NA
"17","51740210500",2021,"incarceration_rate_per_100000",1973,NA
"18","51059451400",2021,"incarceration_rate_per_100000",1926,NA
"19","51760040300",2021,"incarceration_rate_per_100000",1180,NA
"20","51013102701",2021,"incarceration_rate_per_100000",954,NA
"21","51760060800",2021,"incarceration_rate_per_100000",1833,NA
"22","51590000400",2021,"incarceration_rate_per_100000",2057,NA
"23","51730810600",2021,"incarceration_rate_per_100000",2432,NA
"24","51059451601",2021,"incarceration_rate_per_100000",2344,NA
"25","51730810700",2021,"incarceration_rate_per_100000",2208,NA
"26","51760010300",2021,"incarceration_rate_per_100000",2180,NA
"27","51510201206",2021,"incarceration_rate_per_100000",1758,NA
"28","51013103505",2021,"incarceration_rate_per_100000",340,NA
"29","51700030600",2021,"incarceration_rate_per_100000",2004,NA
"30","51013103503",2021,"incarceration_rate_per_100000",0,NA
"31","51760021000",2021,"incarceration_rate_per_100000",1601,NA
"32","51710005100",2021,"incarceration_rate_per_100000",2245,NA
"33","51650011400",2021,"incarceration_rate_per_100000",1429,NA
"34","51087200805",2021,"incarceration_rate_per_100000",2004,NA
"35","51013103602",2021,"incarceration_rate_per_100000",198,NA
"36","51700030800",2021,"incarceration_rate_per_100000",1681,NA
"37","51760060900",2021,"incarceration_rate_per_100000",2177,NA
"38","51590000500",2021,"incarceration_rate_per_100000",1592,NA
"39","51013101603",2021,"incarceration_rate_per_100000",512,NA
"40","51760070601",2021,"incarceration_rate_per_100000",1903,NA
"41","51700030400",2021,"incarceration_rate_per_100000",1788,NA
"42","51105950301",2021,"incarceration_rate_per_100000",2348,NA
"43","51740212100",2021,"incarceration_rate_per_100000",2584,NA
"44","51059461902",2021,"incarceration_rate_per_100000",1780,NA
"45","51800065500",2021,"incarceration_rate_per_100000",2398,NA
"46","51710000902",2021,"incarceration_rate_per_100000",946,NA
"47","51760060700",2021,"incarceration_rate_per_100000",1896,NA
"48","51710002900",2021,"incarceration_rate_per_100000",1221,NA
"49","51800065100",2021,"incarceration_rate_per_100000",1643,NA
"50","51710001300",2021,"incarceration_rate_per_100000",1071,NA
"51","51710002700",2021,"incarceration_rate_per_100000",1469,NA
"52","51680001100",2021,"incarceration_rate_per_100000",1582,NA
"53","51680000600",2021,"incarceration_rate_per_100000",1703,NA
"54","51710004300",2021,"incarceration_rate_per_100000",1735,NA
"55","51041100406",2021,"incarceration_rate_per_100000",1990,NA
"56","51590001000",2021,"incarceration_rate_per_100000",1588,NA
"57","51710005701",2021,"incarceration_rate_per_100000",1216,NA
"58","51041100404",2021,"incarceration_rate_per_100000",2043,NA
"59","51770001000",2021,"incarceration_rate_per_100000",1573,NA
"60","51510201205",2021,"incarceration_rate_per_100000",800,NA
"61","51595890100",2021,"incarceration_rate_per_100000",1692,NA
"62","51550020100",2021,"incarceration_rate_per_100000",1412,NA
"63","51013101804",2021,"incarceration_rate_per_100000",369,NA
"64","51710002500",2021,"incarceration_rate_per_100000",1199,NA
"65","51620090200",2021,"incarceration_rate_per_100000",1975,NA
"66","51510200102",2021,"incarceration_rate_per_100000",765,NA
"67","51121020301",2021,"incarceration_rate_per_100000",638,NA
"68","51770002600",2021,"incarceration_rate_per_100000",1403,NA
"69","51013102001",2021,"incarceration_rate_per_100000",397,NA
"70","51510200304",2021,"incarceration_rate_per_100000",880,NA
"71","51760030200",2021,"incarceration_rate_per_100000",1145,NA
"72","51680000400",2021,"incarceration_rate_per_100000",1429,NA
"73","51510200106",2021,"incarceration_rate_per_100000",945,NA
"74","51013101705",2021,"incarceration_rate_per_100000",192,NA
"75","51510200108",2021,"incarceration_rate_per_100000",542,NA
"76","51810045810",2021,"incarceration_rate_per_100000",1108,NA
"77","51013103300",2021,"incarceration_rate_per_100000",459,NA
"78","51710004600",2021,"incarceration_rate_per_100000",1856,NA
"79","51770000900",2021,"incarceration_rate_per_100000",1406,NA
"80","51520020201",2021,"incarceration_rate_per_100000",1579,NA
"81","51810040600",2021,"incarceration_rate_per_100000",887,NA
"82","51700032300",2021,"incarceration_rate_per_100000",644,NA
"83","51059415401",2021,"incarceration_rate_per_100000",1121,NA
"84","51700032006",2021,"incarceration_rate_per_100000",1163,NA
"85","51710001400",2021,"incarceration_rate_per_100000",1003,NA
"86","51710003400",2021,"incarceration_rate_per_100000",1716,NA
"87","51730810400",2021,"incarceration_rate_per_100000",1978,NA
"88","51680000700",2021,"incarceration_rate_per_100000",1321,NA
"89","51760071004",2021,"incarceration_rate_per_100000",1552,NA
"90","51710001100",2021,"incarceration_rate_per_100000",940,NA
"91","51013101701",2021,"incarceration_rate_per_100000",0,NA
"92","51710005901",2021,"incarceration_rate_per_100000",1325,NA
"93","51059450702",2021,"incarceration_rate_per_100000",1597,NA
"94","51680001900",2021,"incarceration_rate_per_100000",1506,NA
"95","51710004400",2021,"incarceration_rate_per_100000",1496,NA
"96","51710005500",2021,"incarceration_rate_per_100000",1019,NA
"97","51059480203",2021,"incarceration_rate_per_100000",216,NA
"98","51177020313",2021,"incarceration_rate_per_100000",1674,NA
"99","51710004500",2021,"incarceration_rate_per_100000",1617,NA
"100","51510200409",2021,"incarceration_rate_per_100000",649,NA
"101","51730811200",2021,"incarceration_rate_per_100000",1270,NA
"102","51670820100",2021,"incarceration_rate_per_100000",1697,NA
"103","51013103504",2021,"incarceration_rate_per_100000",0,NA
"104","51510200109",2021,"incarceration_rate_per_100000",783,NA
"105","51059480205",2021,"incarceration_rate_per_100000",47,NA
"106","51013102200",2021,"incarceration_rate_per_100000",1037,NA
"107","51540000202",2021,"incarceration_rate_per_100000",909,NA
"108","51540000401",2021,"incarceration_rate_per_100000",813,NA
"109","51680000205",2021,"incarceration_rate_per_100000",1156,NA
"110","51710005800",2021,"incarceration_rate_per_100000",1013,NA
"111","51199050207",2021,"incarceration_rate_per_100000",421,NA
"112","51760020700",2021,"incarceration_rate_per_100000",1233,NA
"113","51710001600",2021,"incarceration_rate_per_100000",1484,NA
"114","51700032126",2021,"incarceration_rate_per_100000",951,NA
"115","51740211100",2021,"incarceration_rate_per_100000",1657,NA
"116","51550020910",2021,"incarceration_rate_per_100000",1408,NA
"117","51730811300",2021,"incarceration_rate_per_100000",1488,NA
"118","51153900203",2021,"incarceration_rate_per_100000",1027,NA
"119","51710004002",2021,"incarceration_rate_per_100000",721,NA
"120","51550020500",2021,"incarceration_rate_per_100000",1264,NA
"121","51059421500",2021,"incarceration_rate_per_100000",1175,NA
"122","51710006400",2021,"incarceration_rate_per_100000",1318,NA
"123","51510201602",2021,"incarceration_rate_per_100000",204,NA
"124","51700032123",2021,"incarceration_rate_per_100000",907,NA
"125","51153900602",2021,"incarceration_rate_per_100000",1003,NA
"126","51710006501",2021,"incarceration_rate_per_100000",882,NA
"127","51149850200",2021,"incarceration_rate_per_100000",795,NA
"128","51650010504",2021,"incarceration_rate_per_100000",1232,NA
"129","51630000400",2021,"incarceration_rate_per_100000",1131,NA
"130","51760040400",2021,"incarceration_rate_per_100000",732,NA
"131","51003010901",2021,"incarceration_rate_per_100000",442,NA
"132","51760060200",2021,"incarceration_rate_per_100000",1648,NA
"133","51510200104",2021,"incarceration_rate_per_100000",751,NA
"134","51730810500",2021,"incarceration_rate_per_100000",1777,NA
"135","51760020501",2021,"incarceration_rate_per_100000",536,NA
"136","51670820300",2021,"incarceration_rate_per_100000",1459,NA
"137","51041100107",2021,"incarceration_rate_per_100000",858,NA
"138","51041100806",2021,"incarceration_rate_per_100000",1197,NA
"139","51059451502",2021,"incarceration_rate_per_100000",653,NA
"140","51740212000",2021,"incarceration_rate_per_100000",1945,NA
"141","51700030900",2021,"incarceration_rate_per_100000",1405,NA
"142","51700031902",2021,"incarceration_rate_per_100000",629,NA
"143","51660000302",2021,"incarceration_rate_per_100000",1104,NA
"144","51137110200",2021,"incarceration_rate_per_100000",1334,NA
"145","51770002501",2021,"incarceration_rate_per_100000",2198,NA
"146","51087200153",2021,"incarceration_rate_per_100000",811,NA
"147","51059452700",2021,"incarceration_rate_per_100000",805,NA
"148","51800065302",2021,"incarceration_rate_per_100000",1436,NA
"149","51650010900",2021,"incarceration_rate_per_100000",1118,NA
"150","51013102002",2021,"incarceration_rate_per_100000",355,NA
"151","51700032128",2021,"incarceration_rate_per_100000",802,NA
"152","51059480204",2021,"incarceration_rate_per_100000",19,NA
"153","51087200417",2021,"incarceration_rate_per_100000",876,NA
"154","51013101409",2021,"incarceration_rate_per_100000",7,NA
"155","51059420503",2021,"incarceration_rate_per_100000",371,NA
"156","51700031701",2021,"incarceration_rate_per_100000",1112,NA
"157","51059452801",2021,"incarceration_rate_per_100000",849,NA
"158","51550020300",2021,"incarceration_rate_per_100000",1771,NA
"159","51013102003",2021,"incarceration_rate_per_100000",529,NA
"160","51001090402",2021,"incarceration_rate_per_100000",1734,NA
"161","51143010301",2021,"incarceration_rate_per_100000",1955,NA
"162","51760060400",2021,"incarceration_rate_per_100000",1371,NA
"163","51153901403",2021,"incarceration_rate_per_100000",905,NA
"164","51153901419",2021,"incarceration_rate_per_100000",789,NA
"165","51059421701",2021,"incarceration_rate_per_100000",1057,NA
"166","51510200408",2021,"incarceration_rate_per_100000",620,NA
"167","51760040201",2021,"incarceration_rate_per_100000",990,NA
"168","51740212801",2021,"incarceration_rate_per_100000",1061,NA
"169","51510200500",2021,"incarceration_rate_per_100000",485,NA
"170","51760011000",2021,"incarceration_rate_per_100000",1450,NA
"171","51107610505",2021,"incarceration_rate_per_100000",974,NA
"172","51680000500",2021,"incarceration_rate_per_100000",629,NA
"173","51810044005",2021,"incarceration_rate_per_100000",488,NA
"174","51059481101",2021,"incarceration_rate_per_100000",101,NA
"175","51153901102",2021,"incarceration_rate_per_100000",619,NA
"176","51810040200",2021,"incarceration_rate_per_100000",1064,NA
"177","51660000101",2021,"incarceration_rate_per_100000",911,NA
"178","51009010505",2021,"incarceration_rate_per_100000",1569,NA
"179","51760070803",2021,"incarceration_rate_per_100000",1549,NA
"180","51059451501",2021,"incarceration_rate_per_100000",937,NA
"181","51800065401",2021,"incarceration_rate_per_100000",1600,NA
"182","51760021200",2021,"incarceration_rate_per_100000",1808,NA
"183","51013102804",2021,"incarceration_rate_per_100000",883,NA
"184","51041100212",2021,"incarceration_rate_per_100000",1098,NA
"185","51760010202",2021,"incarceration_rate_per_100000",1368,NA
"186","51009010506",2021,"incarceration_rate_per_100000",1336,NA
"187","51117930202",2021,"incarceration_rate_per_100000",1448,NA
"188","51087200412",2021,"incarceration_rate_per_100000",875,NA
"189","51590000600",2021,"incarceration_rate_per_100000",1524,NA
"190","51013101805",2021,"incarceration_rate_per_100000",0,NA
"191","51760010800",2021,"incarceration_rate_per_100000",1536,NA
"192","51147930101",2021,"incarceration_rate_per_100000",1370,NA
"193","51670820700",2021,"incarceration_rate_per_100000",1365,NA
"194","51059440503",2021,"incarceration_rate_per_100000",306,NA
"195","51710002600",2021,"incarceration_rate_per_100000",450,NA
"196","51770001200",2021,"incarceration_rate_per_100000",1039,NA
"197","51570830200",2021,"incarceration_rate_per_100000",1333,NA
"198","51810044006",2021,"incarceration_rate_per_100000",614,NA
"199","51041100410",2021,"incarceration_rate_per_100000",1370,NA
"200","51700030300",2021,"incarceration_rate_per_100000",1588,NA
"201","51059451602",2021,"incarceration_rate_per_100000",968,NA
"202","51059416200",2021,"incarceration_rate_per_100000",510,NA
"203","51089010100",2021,"incarceration_rate_per_100000",1521,NA
"204","51510200406",2021,"incarceration_rate_per_100000",531,NA
"205","51770002400",2021,"incarceration_rate_per_100000",1381,NA
"206","51087200418",2021,"incarceration_rate_per_100000",1094,NA
"207","51153901702",2021,"incarceration_rate_per_100000",1689,NA
"208","51059471301",2021,"incarceration_rate_per_100000",370,NA
"209","51153900901",2021,"incarceration_rate_per_100000",856,NA
"210","51760071002",2021,"incarceration_rate_per_100000",853,NA
"211","51041100907",2021,"incarceration_rate_per_100000",1207,NA
"212","51059491202",2021,"incarceration_rate_per_100000",452,NA
"213","51740212400",2021,"incarceration_rate_per_100000",1207,NA
"214","51013101803",2021,"incarceration_rate_per_100000",558,NA
"215","51590001100",2021,"incarceration_rate_per_100000",1339,NA
"216","51770000100",2021,"incarceration_rate_per_100000",1484,NA
"217","51800075103",2021,"incarceration_rate_per_100000",967,NA
"218","51185020900",2021,"incarceration_rate_per_100000",1826,NA
"219","51087200700",2021,"incarceration_rate_per_100000",955,NA
"220","51013101407",2021,"incarceration_rate_per_100000",0,NA
"221","51700032212",2021,"incarceration_rate_per_100000",1060,NA
"222","51059481102",2021,"incarceration_rate_per_100000",0,NA
"223","51153901101",2021,"incarceration_rate_per_100000",622,NA
"224","51760040600",2021,"incarceration_rate_per_100000",520,NA
"225","51540000501",2021,"incarceration_rate_per_100000",688,NA
"226","51510200301",2021,"incarceration_rate_per_100000",418,NA
"227","51059422000",2021,"incarceration_rate_per_100000",645,NA
"228","51037930101",2021,"incarceration_rate_per_100000",1477,NA
"229","51013103405",2021,"incarceration_rate_per_100000",0,NA
"230","51187020400",2021,"incarceration_rate_per_100000",1333,NA
"231","51830370200",2021,"incarceration_rate_per_100000",706,NA
"232","51710000300",2021,"incarceration_rate_per_100000",843,NA
