"","Accees to Care","Education","Employment Access","Labor Force Participation","Population Density","Walkability","Spatial Segregation","Income Inequality","Affordability","Environmental","Food Access","Townsend","Incarceration","Mobility","LifeExpectancy"
"1",0.957,0.217,0.413,0.439,0.11,0.447,0.532,0.594,0.947,0.499,1,0,0.497,0.77,0.345
"2",0.964,0.283,0.254,0.608,0.047,0.526,0.597,0.62,0.947,0.577,0.834,0.134,0.412,0.97,0.791
"3",0.907,0.264,0.185,0.473,0.11,0.421,0.228,0.535,0.921,0.611,0.555,0.17,0.396,0.933,0.223
"4",0.97,0.311,0.126,0.637,0.026,0.421,0.649,0.656,0.697,0.683,0.699,0.225,0.582,0.601,0.375
"5",0.923,0.245,0.251,0.424,0.088,0.421,0.642,0.515,0.921,0.59,0.772,0.226,0.579,0.921,0
"6",0.952,0.594,0.437,0.594,0.104,0.484,0.883,0.204,0.776,0.345,0.96,0.25,0.884,0.378,0.547
"7",0.922,0.302,0.258,0.395,0.037,0.274,0.471,0.524,0.842,0.585,0.941,0.261,0.457,0.966,0.331
"8",0.932,0.292,0.265,0.657,0.103,0.326,0.67,0.541,0.921,0.583,0.736,0.276,0.583,0.918,0.081
"9",0.899,0.33,0.046,0.591,0.008,0.542,0.625,0.616,0.697,0.652,0.472,0.28,0.535,0.837,0.331
"10",0.922,0.321,0.087,0.609,0.049,0.726,0.607,0.625,0.816,0.727,0.884,0.285,0.612,0.67,0.334
"11",0.913,0.349,0.127,0.428,0.056,0.537,0.497,0.459,0.776,0.663,0.244,0.301,0.492,0.858,0.196
"12",0.924,0.358,0.232,0.641,0.076,0.684,0.539,0.511,0.724,0.677,0.592,0.314,0,0.922,0.358
"13",0.984,0.623,0.104,0.294,0.049,0.737,0.854,0.439,0.737,0.777,0.629,0.315,0.994,0.303,0.713
"14",0.941,0.792,1,0.842,0.445,0.316,0.883,0.731,0.842,0.266,0.984,0.316,1,0.725,0.655
"15",0.995,0.755,0.574,1,0.361,0,0.935,0.776,0.697,0.614,0.939,0.325,1,0.429,0.662
"16",0.92,0.292,0.321,0.345,0.119,0.832,0.357,0.389,0.947,0.577,1,0.328,0.534,0.728,0.345
"17",0.93,0.434,0.124,0.749,0.039,0.379,0.735,0.117,0.724,0.648,0.821,0.338,0.508,0.77,0.382
"18",0.837,0.255,0.331,0.705,0.169,0.668,0.896,0.551,0.816,0.609,0.945,0.339,0.963,0.943,0.544
"19",0.948,0.613,0.426,0.44,0.124,0.342,0.918,0.184,0.618,0.429,0.481,0.345,0.989,0.239,0.543
"20",0.911,0.5,0.408,0.796,0.206,0.395,0.752,0.578,0.829,0.626,0.948,0.35,0.955,0.948,0.588
"21",0.858,0.302,0.107,0.645,0.042,0.642,0.525,0.705,0.711,0.558,1,0.353,0.651,0.851,0.422
"22",0.937,0.321,0.027,0.409,0.019,0.721,0.64,0.425,0.566,0.731,0.727,0.367,0.466,0.888,0.581
"23",0.93,0.321,0.038,0.443,0.028,0.305,0.604,0.5,0.75,0.727,0.299,0.367,0.525,0.853,0.328
"24",0.784,0,0.305,0.693,0.194,0.853,0.908,0.518,0.737,0.562,0.933,0.375,0.954,0.874,0.517
"25",0.947,0.349,0.041,0.496,0.033,0.553,0.564,0.408,0.737,0.7,0.321,0.378,0.344,0.538,0.331
"26",0.936,0.396,0.128,0.552,0.031,0.263,0.685,0.568,0.737,0.685,0.46,0.389,0.523,0.84,0.395
"27",0.823,0.274,0.423,0.812,0.207,0.753,0.968,0.529,0.816,0.591,0.997,0.394,0.94,0.844,0.544
"28",0.95,0.726,0.63,0.635,0.167,0.489,0.938,0.479,0.776,0.493,1,0.398,1,0.589,0.622
"29",0.909,0.368,0.093,0.576,0.05,0.605,0.511,0.682,0.737,0.772,0.885,0.399,0.545,0.921,0.345
"30",0.921,0.783,0.659,0.831,0.732,0.526,0.825,0.749,0.724,0.381,0.996,0.404,0.992,0.712,0.71
"31",0.9,0.425,0.112,0.784,0.076,0.484,0.553,0.387,0.789,0.589,0.997,0.408,0.492,0.878,0.551
"32",0.915,0.396,0.144,0.656,0.064,0.668,0.347,0.546,0.75,0.697,0.349,0.412,0.447,0.805,0.436
"33",0.957,0.415,0.085,0.291,0.03,0.405,0.64,0,0.724,0.79,0.979,0.414,0.962,0.316,0.492
"34",0.894,0.377,0.12,0.668,0.074,0.853,0.339,0.327,0.75,0.681,0.711,0.414,0.429,0.798,0.446
"35",0.968,0.802,0.581,0.824,0.177,0.589,0.936,0.745,0.737,0.51,0.833,0.415,1,0.601,0.818
"36",0.924,0.311,0.126,0.608,0.034,0.516,0.564,0.571,0.671,0.728,0.909,0.416,0.581,0.862,0.639
"37",0.883,0.217,0.091,0.576,0.011,0.358,0.739,0.551,0.684,0.552,0.649,0.424,0.705,0.812,0.463
"38",0.934,0.358,0.042,0.489,0.014,0.7,0.754,0.59,0.645,0.711,0.999,0.433,0.601,0.732,0.348
"39",0.922,0.708,0.914,0.779,0.289,0.7,0.895,0.513,0.658,0.352,0.999,0.434,0.991,0.765,0.718
"40",0.806,0.179,0.106,0.644,0.077,0.753,0.472,0.687,0.684,0.689,0.99,0.434,0.83,0.777,0.503
"41",0.901,0.368,0.094,0.678,0.06,0.721,0.37,0.434,0.684,0.762,0.933,0.438,0.411,0.894,0.334
"42",0.926,0.302,0.002,0.393,0.004,0.526,0.776,0.31,0.421,0.845,0.743,0.446,0.501,0.761,0.51
"43",0.954,0.34,0.15,0.52,0.063,0.589,0.721,0.537,0.776,0.608,0.262,0.447,0.51,0.809,0.206
"44",0.852,0.274,0.238,0.722,0.083,0.316,0.863,0.847,0.737,0.615,0.634,0.45,0.956,0.844,0.764
"45",0.926,0.208,0.034,0.476,0.032,0.432,0.562,0.625,0.684,0.837,0.77,0.45,0.439,0.886,0.291
"46",0.838,0.519,0.055,0.98,0.019,0.247,0.843,0.673,0.434,0.523,0.685,0.45,0.994,0.471,0.551
"47",0.91,0.34,0.131,0.577,0.038,0.911,0.304,0.599,0.711,0.601,0.807,0.45,0.507,0.831,0.193
"48",0.895,0.396,0.175,0.706,0.065,0.805,0.6,0.582,0.658,0.703,0.98,0.453,0.458,0.756,0.557
"49",0.918,0.33,0.04,0.695,0.033,0.368,0.666,0.699,0.645,0.809,0.842,0.454,0.573,0.84,0.399
"50",0.92,0.453,0.08,0.842,0.083,0.489,0.791,0.73,0.697,0.673,0.731,0.457,0.795,0.771,0.402
"51",0.917,0.396,0.187,0.583,0.061,0.826,0.681,0.589,0.658,0.694,0.988,0.458,0.499,0.713,0.413
"52",0.911,0.368,0.073,0.57,0.036,0.316,0.724,0.537,0.618,0.726,0.441,0.459,0.413,0.712,0.257
"53",0.967,0.368,0.076,0.525,0.049,0.632,0.632,0.514,0.645,0.721,0.971,0.461,0.307,0.803,0.402
"54",0.916,0.434,0.204,0.549,0.094,0.816,0.415,0.55,0.75,0.675,0.836,0.463,0.408,0.942,0.257
"55",0.929,0.292,0.049,0.554,0.01,0.353,0.796,0.658,0.724,0.644,0.32,0.464,0.659,0.929,0.416
"56",0.939,0.33,0.037,0.508,0.02,0.411,0.679,0.494,0.553,0.74,0.991,0.464,0.577,0.919,0.348
"57",0.888,0.396,0.092,0.603,0.047,0.895,0.598,0.426,0.684,0.705,0.91,0.465,0.56,0.746,0.378
"58",0.869,0.17,0.051,0.683,0.027,0.332,0.868,0.644,0.671,0.609,0.766,0.467,0.78,0.856,0.375
"59",0.905,0.415,0.124,0.616,0.017,0.579,0.754,0.267,0.645,0.696,0.996,0.468,0.591,0.782,0.297
"60",0.903,0.5,0.439,0.817,0.11,0.395,0.967,0.802,0.776,0.57,0.997,0.469,0.953,0.67,0.544
"61",0.909,0.311,0.012,0.799,0.008,0.658,0.581,0.628,0.105,0.796,0.967,0.47,0.634,0.848,0.331
"62",0.894,0.406,0.12,0.645,0.082,0.711,0.22,0.582,0.671,0.753,0.825,0.471,0.641,0.875,0.618
"63",0.898,0.604,0.726,0.839,0.356,0.563,0.896,0.622,0.763,0.512,0.994,0.473,0.964,0.758,0.655
"64",0.921,0.5,0.145,0.511,0.083,0.458,0.79,0.458,0.618,0.712,0.573,0.474,0.89,0.53,0.525
"65",0.938,0.311,0.014,0.645,0.015,0.674,0.608,0.589,0.697,0.816,0.642,0.475,0.498,0.826,0.338
"66",0.918,0.519,0.312,0.762,0.112,0.737,0.796,0.693,0.724,0.669,0.962,0.475,0.944,0.834,0.709
"67",0.973,0.726,0.052,0.398,0.057,0.858,0.785,0.308,0.592,0.793,0.916,0.477,1,0.572,0.622
"68",0.9,0.358,0.125,0.543,0.039,0.595,0.941,0.505,0.711,0.612,0.774,0.477,0.44,0.661,0.233
"69",0.915,0.642,0.546,0.823,0.365,0.484,0.92,0.51,0.697,0.65,0.958,0.478,0.993,0.775,0.571
"70",0.96,0.547,0.293,0.7,0.372,0.405,0.72,0.532,0.816,0.534,0.924,0.478,0.979,0.815,0.672
"71",0.943,0.585,0.433,0.661,0.096,0.711,0.719,0.536,0.776,0.438,0.73,0.478,0.878,0.633,0.561
"72",0.928,0.434,0.055,0.56,0.02,0.226,0.78,0.646,0.605,0.792,0.411,0.48,0.485,0.903,0.422
"73",0.955,0.481,0.349,0.641,0.109,0.684,0.881,0.6,0.711,0.594,0.989,0.481,0.982,0.908,0.632
"74",0.959,0.755,0.882,0.82,0.239,0.632,0.886,0.761,0.671,0.421,0.984,0.481,1,0.676,0.655
"75",0.924,0.679,0.286,0.715,0.122,0.342,0.773,0.746,0.711,0.505,0.928,0.481,0.94,0.893,0.598
"76",0.93,0.387,0.1,0.68,0.081,0.379,0.714,0.487,0.75,0.775,0.931,0.481,0.827,0.862,0.611
"77",0.941,0.689,0.542,0.772,0.181,0.368,0.922,0.668,0.75,0.493,0.742,0.484,0.968,0.882,0.642
"78",0.94,0.302,0.151,0.66,0.04,0.384,0.567,0.535,0.724,0.687,0.753,0.487,0.535,0.926,0.378
"79",0.908,0.34,0.076,0.594,0.03,0.895,0.409,0.474,0.684,0.779,0.61,0.487,0.72,0.871,0.365
