"","CT2","FIPS","Geographic Area Name","Tpop","Accees to Care","Education","Employment Access","Labor Force Participation","Population Density","Walkability","Spatial Segregation","Income Inequality","Affordability","Environmental","Food Access","Townsend","Incarceration","Mobility","County","LifeExpectancy"
"1","51760030100",0.905,"Census Tract 301, Richmond city, Virginia",0.158,0.957,0.217,0.413,0.439,0.11,0.447,0.532,0.594,0.947,0.499,1,0,0.497,0.77,"Richmond city",0.345
"2","51710004800",0.845,"Census Tract 48, Norfolk city, Virginia",0.129,0.964,0.283,0.254,0.608,0.047,0.526,0.597,0.62,0.947,0.577,0.834,0.134,0.412,0.97,"Norfolk city",0.791
"3","51760020200",0.905,"Census Tract 202, Richmond city, Virginia",0.264,0.907,0.264,0.185,0.473,0.11,0.421,0.228,0.535,0.921,0.611,0.555,0.17,0.396,0.933,"Richmond city",0.223
"4","51770002502",0.917,"Census Tract 25.02, Roanoke city, Virginia",0.192,0.97,0.311,0.126,0.637,0.026,0.421,0.649,0.656,0.697,0.683,0.699,0.225,0.582,0.601,"Roanoke city",0.375
"5","51710004200",0.845,"Census Tract 42, Norfolk city, Virginia",0.087,0.923,0.245,0.251,0.424,0.088,0.421,0.642,0.515,0.921,0.59,0.772,0.226,0.579,0.921,"Norfolk city",0
"6","51760030501",0.905,"Census Tract 305.01, Richmond city, Virginia",0.164,0.952,0.594,0.437,0.594,0.104,0.484,0.883,0.204,0.776,0.345,0.96,0.25,0.884,0.378,NA,0.547
"7","51760020100",0.905,"Census Tract 201, Richmond city, Virginia",0.11,0.922,0.302,0.258,0.395,0.037,0.274,0.471,0.524,0.842,0.585,0.941,0.261,0.457,0.966,"Richmond city",0.331
"8","51710004100",0.845,"Census Tract 41, Norfolk city, Virginia",0.129,0.932,0.292,0.265,0.657,0.103,0.326,0.67,0.541,0.921,0.583,0.736,0.276,0.583,0.918,"Norfolk city",0.081
"9","51730810100",0.869,"Census Tract 8101, Petersburg city, Virginia",0.142,0.899,0.33,0.046,0.591,0.008,0.542,0.625,0.616,0.697,0.652,0.472,0.28,0.535,0.837,"Petersburg city",0.331
"10","51700030100",0.833,"Census Tract 301, Newport News city, Virginia",0.263,0.922,0.321,0.087,0.609,0.049,0.726,0.607,0.625,0.816,0.727,0.884,0.285,0.612,0.67,"Newport News city",0.334
"11","51740211800",0.881,"Census Tract 2118, Portsmouth city, Virginia",0.231,0.913,0.349,0.127,0.428,0.056,0.537,0.497,0.459,0.776,0.663,0.244,0.301,0.492,0.858,"Portsmouth city",0.196
