"","X","Accees.to.Care","Education","Employment.Access","Labor.Force.Participation","Population.Density","Walkability","Spatial.Segregation","Income.Inequality","Affordability","Environmental","Food.Access","Townsend","Incarceration","Mobility","geoid"
"1",1,0.911,0.601,0.445,0.483,0.162,0.69,0.194,0.217,0.812,0.34,0.999,0.075,0.628503068394313,0.208,51760030100
"2",2,0.889,0.624,0.308,0.593,0.088,0.729,0.254,0.363,0.743,0.395,0.856,0.219,0.688586120834942,0.243,51710004800
"3",3,0.919,0.614,0.207,0.438,0.171,0.679,0.15,0.225,0.749,0.483,0.989,0.408,0.720537269556317,0.197,51760020200
"4",4,0.885,0.602,0.14,0.566,0.051,0.736,0.455,0.291,0.61,0.563,0.487,0.59,0.788419453630003,0.231,51770002502
"5",5,0.915,0.608,0.309,0.443,0.085,0.729,0.088,0.284,0.791,0.4,1,0.138,0.628991421632815,0.102,51710004200
"6",6,0.895,0.775,0.461,0.603,0.067,0.915,0.806,0.118,0.633,0.152,0.918,0.652,0.882218163695842,0.442,51760030501
"7",7,0.92,0.626,0.257,0.47,0.085,0.604,0.091,0.204,0.736,0.452,0.947,0.347,0.682921304163342,0.169,51760020100
"8",8,0.885,0.607,0.321,0.598,0.188,0.661,0.25,0.355,0.812,0.349,1,0.075,0.670928460436528,0.168,51710004100
"9",9,0.922,0.603,0.058,0.479,0.018,0.41,0.269,0.276,0.643,0.544,0.212,0.373,0.646789352022757,0.198,51730810100
"10",10,0.927,0.622,0.106,0.677,0.048,0.751,0.6,0.315,0.706,0.623,0.771,0.305,0.746946623135593,0.56,51700030100
"11",11,0.93,0.615,0.134,0.549,0.1,0.627,0.194,0.211,0.685,0.46,1,0.353,0.691558945235596,0.256,51740211800
"12",12,0.866,0.636,0.263,0.644,0.102,0.678,0.319,0.332,0.654,0.522,0.959,0.455,0.807661975020155,0.247,51710003501
"13",13,0.967,0.775,0.112,0.298,0.091,0.628,0.725,0.175,0.611,0.682,0.938,0.614,0.87399224714037,0.733,51003010904
"14",14,0.956,0.869,1,0.812,0.499,0.832,0.706,0.32,0.622,0,1,0.617,1.00893379762599,0.348,51013101704
"15",15,0.97,0.841,0.579,0.765,0.704,0.849,0.622,0.49,0.599,0.504,0.998,0.694,1.09873035324365,0.479,51013101408
"16",16,0.894,0.587,0.35,0.401,0.112,0.614,0.212,0.247,0.76,0.461,0.999,0.372,0.70519223924438,0.322,51760020400
"17",17,0.893,0.628,0.136,0.679,0.081,0.903,0.2,0.313,0.664,0.491,1,0.261,0.70867695015061,0.228,51740210500
"18",18,0.815,0.566,0.336,0.727,0.289,0.946,0.669,0.239,0.706,0.472,0.986,0.324,0.858966345950999,0.076,51059451400
"19",19,0.962,0.814,0.449,0.421,0.284,0.739,0.887,0,0.559,0.132,0.887,0.383,0.773017618639293,1,51760040300
"20",20,0.866,0.652,0.428,0.823,0.328,0.634,0.856,0.42,0.696,0.5,1,0.598,1.02023514745234,0.184,51013102701
"21",21,0.826,0.561,0.105,0.609,0.02,0.656,0.559,0.396,0.6,0.428,0.975,0.587,0.824929350936258,0.24,51760060800
"22",22,0.898,0.587,0.035,0.499,0.023,0.252,0.457,0.353,0.506,0.628,0.608,0.467,0.757603545516788,0.225,51590000400
"23",23,0.885,0.585,0.043,0.446,0.051,0.313,0.269,0.364,0.654,0.62,0.158,0.486,0.710424504500872,0.106,51730810600
"24",24,0.762,0.493,0.323,0.783,0.271,0.863,0.45,0.333,0.664,0.49,0.992,0.182,0.782522927505625,0.103,51059451601
"25",25,0.862,0.561,0.047,0.39,0.069,0.487,0.325,0.171,0.664,0.577,0.242,0.424,0.657731545012808,0.358,51730810700
"26",26,0.876,0.639,0.13,0.669,0.051,0.565,0.194,0.403,0.643,0.575,0.121,0.512,0.732829480779804,0.256,51760010300
"27",27,0.783,0.611,0.433,0.809,0.296,0.726,0.694,0.386,0.675,0.462,1,0.409,0.926034776569078,0.293,51510201206
"28",28,0.963,0.818,0.613,0.735,0.21,0.902,0.762,0.465,0.643,0.351,1,0.631,0.98751101122496,0.452,51013103505
"29",29,0.892,0.621,0.114,0.624,0.105,0.72,0.2,0.482,0.611,0.657,0.911,0.456,0.805473827063956,0.132,51700030600
"30",30,0.954,0.867,0.617,0.898,0.684,0.708,0.706,0.485,0.633,0.2,1,0.655,1.06691081318126,0.523,51013103503
"31",31,0.924,0.631,0.121,0.62,0.077,0.64,0.369,0.372,0.643,0.474,0.997,0.67,0.827439711453815,0.309,51760021000
"32",32,0.936,0.637,0.16,0.634,0.071,0.721,0.437,0.295,0.611,0.549,0.051,0.538,0.748148038832165,0.164,51710005100
"33",33,0.971,0.643,0.097,0.209,0.054,0.546,0.231,0.103,0.59,0.687,0.965,0,0.563722946569337,0.608,51650011400
"34",34,0.914,0.63,0.119,0.65,0.036,0.661,0.137,0.361,0.643,0.594,0.537,0.531,0.740156787679753,0.254,51087200805
"35",35,0.946,0.876,0.55,0.781,0.322,0.898,0.652,0.511,0.653,0.327,1,0.609,1.00661302871885,0.489,51013103602
"36",36,0.861,0.626,0.152,0.592,0.042,0.613,0.121,0.164,0.601,0.609,0.998,0.411,0.749902805085361,0.158,51700030800
"37",37,0.815,0.544,0.091,0.667,0.02,0.836,0.744,0.359,0.59,0.42,0.435,0.593,0.807077761978729,0.25,51760060900
