"","Accees to Care","Education","Employment Access","Labor Force Participation","Population Density","Walkability","Spatial Segregation","Income Inequality","Affordability","Environmental","Food Access","Townsend","Mobility","geoid","Incarceration"
"1",0.934,0.584,0.449,0.415,0.169,0.69,0.158,0.26,0.824,0.34,0.999,0,0.792,"51760030100",0.538183668632143
"2",0.897,0.62,0.291,0.587,0.104,0.729,0.259,0.314,0.759,0.395,0.856,0.272,0.813,"51710004800",0.647789570646158
"3",0.909,0.613,0.205,0.447,0.202,0.679,0.146,0.314,0.748,0.483,0.989,0.38,0.926,"51760020200",0.667282405405666
"4",0.894,0.601,0.145,0.616,0.053,0.736,0.587,0.401,0.593,0.563,0.487,0.507,0.617,"51770002502",0.766729642622252
"5",0.907,0.61,0.29,0.492,0.099,0.729,0.196,0.148,0.802,0.4,1,0.151,0.879,"51710004200",0.581128196341685
"6",0.891,0.796,0.47,0.647,0.09,0.915,0.848,0.281,0.633,0.152,0.918,0.564,0.456,"51760030501",0.897251835217636
"7",0.919,0.614,0.266,0.393,0.101,0.604,0.173,0.294,0.732,0.452,0.947,0.324,0.896,"51760020100",0.629194720762509
"8",0.911,0.627,0.299,0.659,0.22,0.661,0.335,0.383,0.807,0.349,1,0.243,0.881,"51710004100",0.680788650139745
"9",0.901,0.637,0.056,0.578,0.018,0.41,0.259,0.435,0.636,0.544,0.212,0.331,0.797,"51730810100",0.626603187305046
"10",0.924,0.617,0.092,0.64,0.044,0.751,0.759,0.435,0.712,0.623,0.771,0.254,0.617,"51700030100",0.75982944961991
"11",0.912,0.625,0.139,0.488,0.101,0.627,0.272,0.296,0.689,0.46,1,0.424,0.832,"51740211800",0.688096624621832
"12",0.895,0.626,0.26,0.647,0.108,0.678,0.304,0.343,0.647,0.522,0.959,0.455,0.855,"51710003501",0.742015904627818
"13",0.965,0.79,0.13,0.329,0.093,0.628,0.762,0.248,0.628,0.682,0.938,0.336,0.237,"51003010904",0.865459119096382
"14",0.968,0.89,1,0.835,0.584,0.832,0.766,0.477,0.613,0,1,0.6,0.712,"51013101704",1.01820237746367
