,property_title,url,address,listing_class,plan_name,bedrooms,bathrooms,unit,price,size_sqft
0,The Point at Reston,https://www.apartments.com/the-point-at-reston-reston-va/je6s9n7/,"1925 Roland Clarke Pl, Reston, VA 20191","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",S1,0,1,523,1992.0,515.0
1,The Point at Reston,https://www.apartments.com/the-point-at-reston-reston-va/je6s9n7/,"1925 Roland Clarke Pl, Reston, VA 20191","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",S1,0,1,638,2019.0,515.0
2,The Point at Reston,https://www.apartments.com/the-point-at-reston-reston-va/je6s9n7/,"1925 Roland Clarke Pl, Reston, VA 20191","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",S1,0,1,738,2089.0,515.0
3,The Point at Reston,https://www.apartments.com/the-point-at-reston-reston-va/je6s9n7/,"1925 Roland Clarke Pl, Reston, VA 20191","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",A3,1,1,504,2230.0,727.0
4,The Point at Reston,https://www.apartments.com/the-point-at-reston-reston-va/je6s9n7/,"1925 Roland Clarke Pl, Reston, VA 20191","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",A3,1,1,304,2245.0,727.0
5,The Point at Reston,https://www.apartments.com/the-point-at-reston-reston-va/je6s9n7/,"1925 Roland Clarke Pl, Reston, VA 20191","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",A3,1,1,404,2245.0,727.0
6,The Point at Reston,https://www.apartments.com/the-point-at-reston-reston-va/je6s9n7/,"1925 Roland Clarke Pl, Reston, VA 20191","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",A8,1,1,032,2230.0,757.0
7,The Point at Reston,https://www.apartments.com/the-point-at-reston-reston-va/je6s9n7/,"1925 Roland Clarke Pl, Reston, VA 20191","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",A8,1,1,427,2320.0,757.0
8,The Point at Reston,https://www.apartments.com/the-point-at-reston-reston-va/je6s9n7/,"1925 Roland Clarke Pl, Reston, VA 20191","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",C7,2,2,214,3174.0,1066.0
9,The Point at Reston,https://www.apartments.com/the-point-at-reston-reston-va/je6s9n7/,"1925 Roland Clarke Pl, Reston, VA 20191","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",C7,2,2,314,3195.0,1066.0
10,The Point at Reston,https://www.apartments.com/the-point-at-reston-reston-va/je6s9n7/,"1925 Roland Clarke Pl, Reston, VA 20191","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",C4,2,2,329,3296.0,1119.0
