,property_title,url,address,listing_class,plan_name,available,price_range,bedrooms,bathrooms,area_sq_ft,detail_text
0,The Point at Reston,https://www.apartments.com/the-point-at-reston-reston-va/je6s9n7/,"1925 Roland Clarke Pl, Reston, VA 20191","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",S1,True,"$1,992 – $2,103",0,1,515,"studio, 1 bath, 515 sq ft $250 deposit"
1,The Point at Reston,https://www.apartments.com/the-point-at-reston-reston-va/je6s9n7/,"1925 Roland Clarke Pl, Reston, VA 20191","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",A3,True,"$2,230 – $2,450",1,1,727,"1 bed, 1 bath, 727 sq ft $250 deposit"
2,The Point at Reston,https://www.apartments.com/the-point-at-reston-reston-va/je6s9n7/,"1925 Roland Clarke Pl, Reston, VA 20191","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",A8,True,"$2,230 – $2,455",1,1,756,"1 bed, 1 bath, 756 sq ft $250 deposit"
3,The Point at Reston,https://www.apartments.com/the-point-at-reston-reston-va/je6s9n7/,"1925 Roland Clarke Pl, Reston, VA 20191","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",C7,True,"$3,174 – $3,196",2,2,"1,066","2 beds, 2 baths, 1,066 sq ft $250 deposit"
4,The Point at Reston,https://www.apartments.com/the-point-at-reston-reston-va/je6s9n7/,"1925 Roland Clarke Pl, Reston, VA 20191","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",C4,True,"$3,296 – $3,297",2,2,"1,119","2 beds, 2 baths, 1,119 sq ft $250 deposit"
5,The Point at Reston,https://www.apartments.com/the-point-at-reston-reston-va/je6s9n7/,"1925 Roland Clarke Pl, Reston, VA 20191","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",S1,True,"$1,992 – $2,103",0,1,515,"studio, 1 bath, 515 sq ft $250 deposit"
6,The Point at Reston,https://www.apartments.com/the-point-at-reston-reston-va/je6s9n7/,"1925 Roland Clarke Pl, Reston, VA 20191","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",A3,True,"$2,230 – $2,450",1,1,727,"1 bed, 1 bath, 727 sq ft $250 deposit"
7,The Point at Reston,https://www.apartments.com/the-point-at-reston-reston-va/je6s9n7/,"1925 Roland Clarke Pl, Reston, VA 20191","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",A8,True,"$2,230 – $2,455",1,1,756,"1 bed, 1 bath, 756 sq ft $250 deposit"
8,The Point at Reston,https://www.apartments.com/the-point-at-reston-reston-va/je6s9n7/,"1925 Roland Clarke Pl, Reston, VA 20191","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",C7,True,"$3,174 – $3,196",2,2,"1,066","2 beds, 2 baths, 1,066 sq ft $250 deposit"
9,The Point at Reston,https://www.apartments.com/the-point-at-reston-reston-va/je6s9n7/,"1925 Roland Clarke Pl, Reston, VA 20191","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",C4,True,"$3,296 – $3,297",2,2,"1,119","2 beds, 2 baths, 1,119 sq ft $250 deposit"
