blkgrp,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""510019801001""",,1.00,0.00,0.00,7780.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,0.00,0.00,,,,,,,4853,,,,,
"""511539801001""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",1.00,0.00,0.00,20920.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,0.00,0.00,,,,,,,3186,,,,,
"""510131014033""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",1.00,1625.00,886.00,7.21,37,45,61,30,37,51,7,8,10,2.88,354.35,0.93,1,1,8121,6656,7073,43,40,44,6563,5589,5155,5327,4565,4063,1126,923,980,109,101,111,55,51,56,9.7,9.9,160.11,122.83,71420,1,126291,90,4,454,488,2294,,2294,0,100
"""510131018021""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",1.00,1402.00,805.00,28.99,38,46,62,30,38,52,8,8,10,3.19,88.63,0.96,1,1,10086,8410,8992,38,36,39,6971,5930,5540,5475,4672,4195,1398,1166,1246,98,92,99,49,46,49,9.7,10.0,50.13,27.77,73687,3,170122,91,2,773,336,2320,2054,2387,20,80
"""511076108003""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",1.00,2075.00,725.00,22654.04,35,41,56,16,20,27,19,21,28,10.89,0.35,2.35,2,2,27308,24557,25691,0,0,0,17228,15827,15251,13438,12423,11691,3786,3404,3560,4,0,0,1,0,0,1.4,2.9,0.07,0.03,4499,96,5042,85,131,12,3097,1231,,1231,73,27
"""510131017012""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",1.00,1260.00,631.00,8.62,37,45,61,29,37,50,8,9,11,3.46,253.53,1.06,1,1,8817,7194,7732,36,33,36,7372,6315,5905,6059,5233,4742,1222,997,1071,91,84,93,46,42,46,9.7,10.0,103.24,73.19,72745,0,178606,91,9,594,864,2261,,2261,0,100
"""510131017021""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",1.00,1693.00,1141.00,24.69,27,32,43,19,23,32,8,9,11,3.12,144.08,1.05,1,1,9956,8260,8884,34,31,35,7456,6366,6057,5989,5141,4737,1380,1145,1231,87,80,89,44,40,44,9.6,10.0,65.30,46.22,74257,0,233203,91,8,415,707,1431,1250,1475,19,81
"""511959307002""","""Big Stone Gap, VA""",1.00,834.00,352.00,7771.96,69,83,50,33,41,22,36,42,28,9.45,0.43,1.90,2,2,22845,20311,25499,1,1,1,12962,11880,15029,9784,9054,11481,3167,2815,3534,11,11,15,10,9,13,1.5,1.7,0.09,0.05,1248,71,1211,80,152,24,3206,971,1029,675,84,16
"""510131035032""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",1.00,1582.00,925.00,23.13,36,44,59,28,35,48,8,9,12,3.58,142.98,1.09,1,1,9924,8304,8838,39,36,39,7705,6678,6230,6231,5434,4906,1376,1151,1225,99,92,99,49,46,50,9.6,9.9,61.61,39.99,58109,0,127447,91,12,249,884,2140,,2140,0,100
"""510131018023""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",1.00,1361.00,585.00,11.48,38,47,63,30,38,52,8,9,12,4.16,211.71,1.10,1,1,9791,8119,8698,34,32,35,7727,6609,6243,6283,5402,4949,1357,1126,1205,87,81,89,43,40,44,9.7,10.0,69.70,50.95,73962,0,169612,91,4,557,517,2317,,2317,10,90
"""510131017011""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",1.00,785.00,343.00,21.19,28,33,45,19,24,33,8,9,12,3.98,64.42,1.10,1,1,10112,8498,9029,33,31,34,7746,6649,6257,6260,5392,4920,1402,1178,1251,83,79,85,42,40,43,9.7,10.0,27.21,16.19,72925,0,176141,91,3,695,626,1492,,1492,9,91
"""510131018024""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",1.00,1562.00,523.00,21.82,29,35,47,20,25,35,8,9,12,4.09,97.95,1.10,1,1,10208,8348,9033,33,31,33,7786,6698,6276,6287,5463,4941,1415,1157,1252,83,78,83,42,39,41,9.7,10.0,29.57,23.97,74645,2,165731,91,5,466,719,1566,2629,1464,9,91
"""510131014034""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",1.00,2008.00,1305.00,26.95,38,46,62,29,37,50,8,9,12,3.32,160.57,1.07,1,1,10544,8737,9452,41,39,41,7698,6623,6287,6131,5314,4872,1462,1211,1310,105,98,105,53,49,53,9.6,9.9,79.64,48.43,72069,0,127922,90,7,309,674,2249,2464,2193,21,79
"""510131018022""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",1.00,1337.00,825.00,8.83,43,52,70,34,43,59,8,9,12,3.59,335.80,1.05,1,1,11627,9495,10464,41,37,41,7722,6535,6298,6007,5124,4744,1612,1316,1450,103,95,104,52,47,52,9.5,10.0,136.37,93.46,74508,0,166884,91,4,725,587,2632,3068,2337,40,60
"""510131035012""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",1.00,1139.00,815.00,16.19,31,38,51,23,28,39,8,9,12,3.08,154.87,1.12,1,1,9484,7851,8397,37,35,38,7788,6752,6324,6379,5575,5065,1315,1088,1164,95,88,96,48,44,48,9.5,9.9,63.08,50.35,65598,0,134502,91,16,158,1247,1752,,1752,0,100
"""510131018032""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",1.00,954.00,672.00,28.94,31,38,51,23,29,39,9,9,12,3.26,75.59,1.12,1,1,9948,8178,8787,31,29,30,7862,6776,6326,6405,5569,5032,1379,1134,1218,78,73,77,39,37,39,9.7,10.0,23.26,23.22,75824,2,159773,91,7,334,784,1762,,1762,0,100
