zip,tract,usps_zip_pref_city,usps_zip_pref_state,rent_0br,rent_1br,rent_2br,rent_3br,rent_4br
20019,11001007707,WASHINGTON,DC,1020,1040,1180,1490,1790
20019,11001007808,WASHINGTON,DC,1020,1040,1180,1490,1790
20019,11001009901,WASHINGTON,DC,1020,1040,1180,1490,1790
20019,11001009902,WASHINGTON,DC,1020,1040,1180,1490,1790
20019,11001007806,WASHINGTON,DC,1020,1040,1180,1490,1790
20019,11001009602,WASHINGTON,DC,1020,1040,1180,1490,1790
20019,11001009604,WASHINGTON,DC,1020,1040,1180,1490,1790
20019,11001009907,WASHINGTON,DC,1020,1040,1180,1490,1790
20019,11001007703,WASHINGTON,DC,1020,1040,1180,1490,1790
20019,11001007709,WASHINGTON,DC,1020,1040,1180,1490,1790
20019,11001007803,WASHINGTON,DC,1020,1040,1180,1490,1790
20019,11001009903,WASHINGTON,DC,1020,1040,1180,1490,1790
20019,11001007807,WASHINGTON,DC,1020,1040,1180,1490,1790
20019,11001007708,WASHINGTON,DC,1020,1040,1180,1490,1790
20019,11001007804,WASHINGTON,DC,1020,1040,1180,1490,1790
20019,11001009905,WASHINGTON,DC,1020,1040,1180,1490,1790
20019,11001007809,WASHINGTON,DC,1020,1040,1180,1490,1790
20019,11001009904,WASHINGTON,DC,1020,1040,1180,1490,1790
20019,11001009601,WASHINGTON,DC,1020,1040,1180,1490,1790
20019,11001009906,WASHINGTON,DC,1020,1040,1180,1490,1790
20019,11001009603,WASHINGTON,DC,1020,1040,1180,1490,1790
20530,11001005800,WASHINGTON,DC,1450,1470,1680,2130,2550
20530,11001010100,WASHINGTON,DC,1450,1470,1680,2130,2550
20530,11001006202,WASHINGTON,DC,1450,1470,1680,2130,2550
20421,11001010700,WASHINGTON,DC,1450,1470,1680,2130,2550
20411,11001010200,WASHINGTON,DC,1450,1470,1680,2130,2550
20405,11001010800,WASHINGTON,DC,1450,1470,1680,2130,2550
20527,11001005800,WASHINGTON,DC,1450,1470,1680,2130,2550
20548,11001005900,WASHINGTON,DC,1450,1470,1680,2130,2550
20208,11001005900,WASHINGTON,DC,1450,1470,1680,2130,2550
20002,11001007901,WASHINGTON,DC,1390,1410,1610,2040,2450
20002,11001010600,WASHINGTON,DC,1390,1410,1610,2040,2450
20002,11001009102,WASHINGTON,DC,1390,1410,1610,2040,2450
20002,11001008702,WASHINGTON,DC,1390,1410,1610,2040,2450
20002,11001008302,WASHINGTON,DC,1390,1410,1610,2040,2450
20002,11001009302,WASHINGTON,DC,1390,1410,1610,2040,2450
20002,11001004702,WASHINGTON,DC,1390,1410,1610,2040,2450
20002,11001008701,WASHINGTON,DC,1390,1410,1610,2040,2450
20002,11001011100,WASHINGTON,DC,1390,1410,1610,2040,2450
20002,11001008402,WASHINGTON,DC,1390,1410,1610,2040,2450
20002,11001008200,WASHINGTON,DC,1390,1410,1610,2040,2450
20002,11001003301,WASHINGTON,DC,1390,1410,1610,2040,2450
20002,11001006202,WASHINGTON,DC,1390,1410,1610,2040,2450
20002,11001008804,WASHINGTON,DC,1390,1410,1610,2040,2450
20002,11001008002,WASHINGTON,DC,1390,1410,1610,2040,2450
20002,11001009203,WASHINGTON,DC,1390,1410,1610,2040,2450
20002,11001009204,WASHINGTON,DC,1390,1410,1610,2040,2450
20002,11001008001,WASHINGTON,DC,1390,1410,1610,2040,2450
20002,11001008410,WASHINGTON,DC,1390,1410,1610,2040,2450
20002,11001008904,WASHINGTON,DC,1390,1410,1610,2040,2450
20002,11001004600,WASHINGTON,DC,1390,1410,1610,2040,2450
20002,11001008802,WASHINGTON,DC,1390,1410,1610,2040,2450
20002,11001008301,WASHINGTON,DC,1390,1410,1610,2040,2450
20002,11001008803,WASHINGTON,DC,1390,1410,1610,2040,2450
20002,11001006804,WASHINGTON,DC,1390,1410,1610,2040,2450
20002,11001009201,WASHINGTON,DC,1390,1410,1610,2040,2450
20002,11001003302,WASHINGTON,DC,1390,1410,1610,2040,2450
20002,11001008100,WASHINGTON,DC,1390,1410,1610,2040,2450
20002,11001007903,WASHINGTON,DC,1390,1410,1610,2040,2450
20002,11001004701,WASHINGTON,DC,1390,1410,1610,2040,2450
20002,11001008903,WASHINGTON,DC,1390,1410,1610,2040,2450
20250,11001010200,WASHINGTON,DC,1450,1470,1680,2130,2550
20536,11001006400,WASHINGTON,DC,1450,1470,1680,2130,2550
20536,11001005800,WASHINGTON,DC,1450,1470,1680,2130,2550
20536,11001010200,WASHINGTON,DC,1450,1470,1680,2130,2550
20536,11001004702,WASHINGTON,DC,1450,1470,1680,2130,2550
20515,11001010500,WASHINGTON,DC,1450,1470,1680,2130,2550
20515,11001006202,WASHINGTON,DC,1450,1470,1680,2130,2550
20240,11001010800,WASHINGTON,DC,1450,1470,1680,2130,2550
20240,11001010700,WASHINGTON,DC,1450,1470,1680,2130,2550
20057,11001000202,WASHINGTON,DC,1910,1940,2210,2800,3360
20057,11001000201,WASHINGTON,DC,1910,1940,2210,2800,3360
20040,11001001901,WASHINGTON,DC,1450,1470,1680,2130,2550
20056,11001004300,WASHINGTON,DC,1450,1470,1680,2130,2550
20426,11001010600,WASHINGTON,DC,1450,1470,1680,2130,2550
20552,11001010800,WASHINGTON,DC,1450,1470,1680,2130,2550
20203,11001010700,WASHINGTON,DC,1450,1470,1680,2130,2550
20010,11001002600,WASHINGTON,DC,1650,1680,1910,2420,2900
20010,11001003000,WASHINGTON,DC,1650,1680,1910,2420,2900
20010,11001002900,WASHINGTON,DC,1650,1680,1910,2420,2900
20010,11001002400,WASHINGTON,DC,1650,1680,1910,2420,2900
20010,11001002302,WASHINGTON,DC,1650,1680,1910,2420,2900
20010,11001002502,WASHINGTON,DC,1650,1680,1910,2420,2900
20010,11001002802,WASHINGTON,DC,1650,1680,1910,2420,2900
