geoid,region_type,region_name,year,measure,value,measure_type
11001,county,District of Columbia,2015,tot_adr,424711,count
24017,county,"Charles County, Maryland",2015,tot_adr,71038,count
24021,county,"Frederick County, Maryland",2015,tot_adr,113603,count
24031,county,"Montgomery County, Maryland",2015,tot_adr,476406,count
24033,county,"Prince George's County, Maryland",2015,tot_adr,435889,count
51013,county,"Arlington County, Virginia",2015,tot_adr,141248,count
51059,county,"Fairfax County, Virginia",2015,tot_adr,508919,count
51107,county,"Loudoun County, Virginia",2015,tot_adr,166411,count
51153,county,"Prince William County, Virginia",2015,tot_adr,176811,count
51510,county,"Alexandria city, Virginia",2015,tot_adr,97382,count
51600,county,"Fairfax city, Virginia",2015,tot_adr,15725,count
51610,county,"Falls Church city, Virginia",2015,tot_adr,9119,count
51683,county,"Manassas city, Virginia",2015,tot_adr,19620,count
51685,county,"Manassas Park city, Virginia",2015,tot_adr,6493,count
11001,county,District of Columbia,2015,vac_res_adr,7324,count
24017,county,"Charles County, Maryland",2015,vac_res_adr,278,count
24021,county,"Frederick County, Maryland",2015,vac_res_adr,538,count
24031,county,"Montgomery County, Maryland",2015,vac_res_adr,2537,count
24033,county,"Prince George's County, Maryland",2015,vac_res_adr,5119,count
51013,county,"Arlington County, Virginia",2015,vac_res_adr,347,count
51059,county,"Fairfax County, Virginia",2015,vac_res_adr,1266,count
51107,county,"Loudoun County, Virginia",2015,vac_res_adr,112,count
51153,county,"Prince William County, Virginia",2015,vac_res_adr,482,count
51510,county,"Alexandria city, Virginia",2015,vac_res_adr,196,count
51600,county,"Fairfax city, Virginia",2015,vac_res_adr,23,count
51610,county,"Falls Church city, Virginia",2015,vac_res_adr,37,count
51683,county,"Manassas city, Virginia",2015,vac_res_adr,88,count
51685,county,"Manassas Park city, Virginia",2015,vac_res_adr,19,count
11001,county,District of Columbia,2015,vac_bus_adr,2527,count
24017,county,"Charles County, Maryland",2015,vac_bus_adr,86,count
24021,county,"Frederick County, Maryland",2015,vac_bus_adr,384,count
24031,county,"Montgomery County, Maryland",2015,vac_bus_adr,2408,count
24033,county,"Prince George's County, Maryland",2015,vac_bus_adr,2125,count
51013,county,"Arlington County, Virginia",2015,vac_bus_adr,815,count
51059,county,"Fairfax County, Virginia",2015,vac_bus_adr,2841,count
51107,county,"Loudoun County, Virginia",2015,vac_bus_adr,303,count
51153,county,"Prince William County, Virginia",2015,vac_bus_adr,453,count
51510,county,"Alexandria city, Virginia",2015,vac_bus_adr,379,count
51600,county,"Fairfax city, Virginia",2015,vac_bus_adr,175,count
51610,county,"Falls Church city, Virginia",2015,vac_bus_adr,136,count
51683,county,"Manassas city, Virginia",2015,vac_bus_adr,132,count
51685,county,"Manassas Park city, Virginia",2015,vac_bus_adr,83,count
11001,county,District of Columbia,2015,vac_oth_adr,18,count
24017,county,"Charles County, Maryland",2015,vac_oth_adr,1,count
24021,county,"Frederick County, Maryland",2015,vac_oth_adr,3,count
24031,county,"Montgomery County, Maryland",2015,vac_oth_adr,1,count
24033,county,"Prince George's County, Maryland",2015,vac_oth_adr,9,count
51013,county,"Arlington County, Virginia",2015,vac_oth_adr,0,count
51059,county,"Fairfax County, Virginia",2015,vac_oth_adr,0,count
51107,county,"Loudoun County, Virginia",2015,vac_oth_adr,0,count
51153,county,"Prince William County, Virginia",2015,vac_oth_adr,0,count
51510,county,"Alexandria city, Virginia",2015,vac_oth_adr,0,count
51600,county,"Fairfax city, Virginia",2015,vac_oth_adr,0,count
51610,county,"Falls Church city, Virginia",2015,vac_oth_adr,0,count
51683,county,"Manassas city, Virginia",2015,vac_oth_adr,0,count
51685,county,"Manassas Park city, Virginia",2015,vac_oth_adr,0,count
11001,county,District of Columbia,2015,vac_adr,9869,count
24017,county,"Charles County, Maryland",2015,vac_adr,365,count
24021,county,"Frederick County, Maryland",2015,vac_adr,925,count
24031,county,"Montgomery County, Maryland",2015,vac_adr,4946,count
24033,county,"Prince George's County, Maryland",2015,vac_adr,7253,count
51013,county,"Arlington County, Virginia",2015,vac_adr,1162,count
51059,county,"Fairfax County, Virginia",2015,vac_adr,4107,count
51107,county,"Loudoun County, Virginia",2015,vac_adr,415,count
51153,county,"Prince William County, Virginia",2015,vac_adr,935,count
51510,county,"Alexandria city, Virginia",2015,vac_adr,575,count
51600,county,"Fairfax city, Virginia",2015,vac_adr,198,count
51610,county,"Falls Church city, Virginia",2015,vac_adr,173,count
51683,county,"Manassas city, Virginia",2015,vac_adr,220,count
51685,county,"Manassas Park city, Virginia",2015,vac_adr,102,count
11001,county,District of Columbia,2015,vac_res_per,2.0965308768846307,percent
24017,county,"Charles County, Maryland",2015,vac_res_per,0.4362084385934632,percent
24021,county,"Frederick County, Maryland",2015,vac_res_per,0.5359313051620744,percent
24031,county,"Montgomery County, Maryland",2015,vac_res_per,0.6041324852776937,percent
24033,county,"Prince George's County, Maryland",2015,vac_res_per,1.3587656175760938,percent
51013,county,"Arlington County, Virginia",2015,vac_res_per,0.2828358573920415,percent
51059,county,"Fairfax County, Virginia",2015,vac_res_per,0.2849182379179813,percent
51107,county,"Loudoun County, Virginia",2015,vac_res_per,0.07502327731148727,percent
51153,county,"Prince William County, Virginia",2015,vac_res_per,0.29937144418772205,percent
51510,county,"Alexandria city, Virginia",2015,vac_res_per,0.23246711657751473,percent
51600,county,"Fairfax city, Virginia",2015,vac_res_per,0.19980887846407785,percent
51610,county,"Falls Church city, Virginia",2015,vac_res_per,0.5170486305198435,percent
51683,county,"Manassas city, Virginia",2015,vac_res_per,0.5513784461152882,percent
51685,county,"Manassas Park city, Virginia",2015,vac_res_per,0.3298038534976567,percent
11001,county,District of Columbia,2015,vac_bus_per,6.612413648733514,percent
24017,county,"Charles County, Maryland",2015,vac_bus_per,1.6050765210899591,percent
24021,county,"Frederick County, Maryland",2015,vac_bus_per,3.981750311074243,percent
24031,county,"Montgomery County, Maryland",2015,vac_bus_per,6.480260502166366,percent
24033,county,"Prince George's County, Maryland",2015,vac_bus_per,6.782419967444383,percent
51013,county,"Arlington County, Virginia",2015,vac_bus_per,8.396867916752525,percent
51059,county,"Fairfax County, Virginia",2015,vac_bus_per,6.772186598650808,percent
51107,county,"Loudoun County, Virginia",2015,vac_bus_per,2.4732674883682964,percent
51153,county,"Prince William County, Virginia",2015,vac_bus_per,4.135853190906601,percent
51510,county,"Alexandria city, Virginia",2015,vac_bus_per,5.056704469646431,percent
51600,county,"Fairfax city, Virginia",2015,vac_bus_per,5.350045857535922,percent
51610,county,"Falls Church city, Virginia",2015,vac_bus_per,8.410636982065553,percent
51683,county,"Manassas city, Virginia",2015,vac_bus_per,4.665959703075292,percent
51685,county,"Manassas Park city, Virginia",2015,vac_bus_per,14.664310954063604,percent
11001,county,District of Columbia,2015,vac_oth_per,0.04844439659812681,percent
24017,county,"Charles County, Maryland",2015,vac_oth_per,0.0513083632632119,percent
24021,county,"Frederick County, Maryland",2015,vac_oth_per,0.08396305625524769,percent
24031,county,"Montgomery County, Maryland",2015,vac_oth_per,0.005179736869367036,percent
24033,county,"Prince George's County, Maryland",2015,vac_oth_per,0.03235198964736331,percent
51013,county,"Arlington County, Virginia",2015,vac_oth_per,0,percent
51059,county,"Fairfax County, Virginia",2015,vac_oth_per,0,percent
51107,county,"Loudoun County, Virginia",2015,vac_oth_per,0,percent
51153,county,"Prince William County, Virginia",2015,vac_oth_per,0,percent
51510,county,"Alexandria city, Virginia",2015,vac_oth_per,0,percent
51600,county,"Fairfax city, Virginia",2015,vac_oth_per,0,percent
51610,county,"Falls Church city, Virginia",2015,vac_oth_per,0,percent
51683,county,"Manassas city, Virginia",2015,vac_oth_per,0,percent
51685,county,"Manassas Park city, Virginia",2015,vac_oth_per,0,percent
11001,county,District of Columbia,2015,vac_per,2.3236977615366685,percent
24017,county,"Charles County, Maryland",2015,vac_per,0.5138095104028829,percent
24021,county,"Frederick County, Maryland",2015,vac_per,0.8142390605881887,percent
24031,county,"Montgomery County, Maryland",2015,vac_per,1.0381901151538813,percent
24033,county,"Prince George's County, Maryland",2015,vac_per,1.6639557318491636,percent
51013,county,"Arlington County, Virginia",2015,vac_per,0.8226665156320798,percent
51059,county,"Fairfax County, Virginia",2015,vac_per,0.8070046510348405,percent
51107,county,"Loudoun County, Virginia",2015,vac_per,0.2493825528360505,percent
51153,county,"Prince William County, Virginia",2015,vac_per,0.5288132525691275,percent
51510,county,"Alexandria city, Virginia",2015,vac_per,0.5904581955597543,percent
51600,county,"Fairfax city, Virginia",2015,vac_per,1.259141494435612,percent
51610,county,"Falls Church city, Virginia",2015,vac_per,1.897137844061849,percent
51683,county,"Manassas city, Virginia",2015,vac_per,1.1213047910295617,percent
51685,county,"Manassas Park city, Virginia",2015,vac_per,1.5709225319574927,percent
11001,county,District of Columbia,2015,vac_res_12plus,5762,count
24017,county,"Charles County, Maryland",2015,vac_res_12plus,178,count
24021,county,"Frederick County, Maryland",2015,vac_res_12plus,344,count
24031,county,"Montgomery County, Maryland",2015,vac_res_12plus,1910,count
24033,county,"Prince George's County, Maryland",2015,vac_res_12plus,4088,count
51013,county,"Arlington County, Virginia",2015,vac_res_12plus,252,count
51059,county,"Fairfax County, Virginia",2015,vac_res_12plus,1006,count
51107,county,"Loudoun County, Virginia",2015,vac_res_12plus,86,count
51153,county,"Prince William County, Virginia",2015,vac_res_12plus,291,count
