geoid,region_type,region_name,year,measure,value,measure_type
51001,county,"Accomack County, Virginia",2015,tot_adr,13955,count
51003,county,"Albemarle County, Virginia",2015,tot_adr,57832,count
51005,county,"Alleghany County, Virginia",2015,tot_adr,8116,count
51007,county,"Amelia County, Virginia",2015,tot_adr,5954,count
51009,county,"Amherst County, Virginia",2015,tot_adr,14448,count
51011,county,"Appomattox County, Virginia",2015,tot_adr,6785,count
51013,county,"Arlington County, Virginia",2015,tot_adr,141248,count
51015,county,"Augusta County, Virginia",2015,tot_adr,35793,count
51017,county,"Bath County, Virginia",2015,tot_adr,3369,count
51019,county,"Bedford County, Virginia",2015,tot_adr,40166,count
51021,county,"Bland County, Virginia",2015,tot_adr,2663,count
51023,county,"Botetourt County, Virginia",2015,tot_adr,16748,count
51025,county,"Brunswick County, Virginia",2015,tot_adr,7647,count
51027,county,"Buchanan County, Virginia",2015,tot_adr,7912,count
51029,county,"Buckingham County, Virginia",2015,tot_adr,6948,count
51031,county,"Campbell County, Virginia",2015,tot_adr,26905,count
51033,county,"Caroline County, Virginia",2015,tot_adr,12342,count
51035,county,"Carroll County, Virginia",2015,tot_adr,16377,count
51036,county,"Charles City County, Virginia",2015,tot_adr,3544,count
51037,county,"Charlotte County, Virginia",2015,tot_adr,5919,count
51041,county,"Chesterfield County, Virginia",2015,tot_adr,157716,count
51043,county,"Clarke County, Virginia",2015,tot_adr,6504,count
51045,county,"Craig County, Virginia",2015,tot_adr,2285,count
51047,county,"Culpeper County, Virginia",2015,tot_adr,20583,count
51049,county,"Cumberland County, Virginia",2015,tot_adr,4938,count
51051,county,"Dickenson County, Virginia",2015,tot_adr,6207,count
51053,county,"Dinwiddie County, Virginia",2015,tot_adr,12719,count
51057,county,"Essex County, Virginia",2015,tot_adr,4333,count
51059,county,"Fairfax County, Virginia",2015,tot_adr,508919,count
51061,county,"Fauquier County, Virginia",2015,tot_adr,29972,count
51063,county,"Floyd County, Virginia",2015,tot_adr,8174,count
51065,county,"Fluvanna County, Virginia",2015,tot_adr,12233,count
51067,county,"Franklin County, Virginia",2015,tot_adr,30135,count
51069,county,"Frederick County, Virginia",2015,tot_adr,36485,count
51071,county,"Giles County, Virginia",2015,tot_adr,8742,count
51073,county,"Gloucester County, Virginia",2015,tot_adr,20252,count
51075,county,"Goochland County, Virginia",2015,tot_adr,10313,count
51077,county,"Grayson County, Virginia",2015,tot_adr,8631,count
51079,county,"Greene County, Virginia",2015,tot_adr,9872,count
51081,county,"Greensville County, Virginia",2015,tot_adr,4364,count
51083,county,"Halifax County, Virginia",2015,tot_adr,19383,count
51085,county,"Hanover County, Virginia",2015,tot_adr,49256,count
51087,county,"Henrico County, Virginia",2015,tot_adr,168336,count
51089,county,"Henry County, Virginia",2015,tot_adr,27401,count
51091,county,"Highland County, Virginia",2015,tot_adr,1945,count
51093,county,"Isle of Wight County, Virginia",2015,tot_adr,18144,count
51095,county,"James City County, Virginia",2015,tot_adr,40776,count
51097,county,"King and Queen County, Virginia",2015,tot_adr,2794,count
51099,county,"King George County, Virginia",2015,tot_adr,11670,count
